County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
Union,IN,7037,46.6,3.1,50300,3491,3546,1424,752,672,4250,2125,2125,1363,614,749,152,55,97,0,0,747,0
Vanderburgh,IN,180974,769.7,3.2,50500,87699,93275,39047,19878,19169,111354,54713,56641,30573,13108,17465,4313,1359,2954,154,3526827711,8740,84
Vermillion,IN,15479,63.1,5.5,49287,7691,7788,3379,1780,1599,8998,4514,4484,3102,1397,1705,380,116,264,6,0,411,0
Vigo,IN,107386,267.4,4.4,48335,54405,52981,21965,11462,10503,67904,35674,32230,17517,7269,10248,2317,665,1652,54,2249501698,4760,335
Wabash,IN,31280,79.7,3.5,51487,15158,16122,6512,3244,3268,18242,9098,9144,6526,2816,3710,1059,339,720,0,0,2429,69
Warren,IN,8263,23.3,3.2,60596,4086,4177,1855,902,953,4737,2420,2317,1671,764,907,198,69,129,0,0,570,62
Warrick,IN,62567,155.1,2.9,75534,30670,31897,14921,7537,7384,36699,18207,18492,10947,4926,6021,1303,435,868,24,0,5824,865
Washington,IN,27943,55,3.5,44534,13920,14023,6384,3224,3160,16793,8499,8294,4766,2197,2569,495,186,309,0,0,2379,26
Wayne,IN,65936,171.5,3.6,45130,31937,33999,14475,7331,7144,38830,19232,19598,12631,5374,7257,1727,547,1180,30,0,5931,188
Wells,IN,28206,75.1,2.8,60010,13912,14294,6982,3558,3424,16060,8101,7959,5164,2253,2911,774,240,534,7,0,640,0
White,IN,24133,48.8,3.1,58380,12010,12123,5647,2892,2755,13632,6868,6764,4854,2250,2604,629,244,385,0,0,5572,125
Whitley,IN,34074,99.2,2.9,67758,16983,17091,7899,4075,3824,20051,10153,9898,6124,2755,3369,795,238,557,0,0,1257,78
Iowa,IA,16141,27.9,2.1,64188,8046,8095,3758,1936,1822,9322,4732,4590,3061,1378,1683,528,171,357,0,0,1194,0
Adair,IA,7063,13.5,2.4,54282,3509,3554,1528,771,757,3932,2029,1903,1603,709,894,315,120,195,0,0,195,0
Adams,IA,3645,9.5,1.9,51577,1825,1820,768,390,378,2036,1034,1002,841,401,440,115,43,72,0,0,68,0
Allamakee,IA,13832,22.4,3.1,53359,7019,6813,3252,1666,1586,7437,3835,3602,3143,1518,1625,413,150,263,0,0,4609,186
Appanoose,IA,12437,25.9,3.3,44298,6143,6294,2774,1437,1337,6840,3440,3400,2823,1266,1557,421,145,276,3,0,301,129
Audubon,IA,5506,13.8,2.4,51210,2673,2833,1125,572,553,3019,1509,1510,1362,592,770,267,72,195,0,0,333,20
Benton,IA,25642,36.4,2.7,62799,12785,12857,5988,2995,2993,14887,7563,7324,4767,2227,2540,733,275,458,0,9094244,1719,55
Black Hawk,IA,132408,231.7,2.8,52320,65095,67313,28810,14715,14095,81879,40662,41217,21719,9718,12001,3086,1083,2003,24,2146149081,56639,1005
Boone,IA,26346,46,2.1,63099,13312,13034,5607,2992,2615,15885,8086,7799,4854,2234,2620,699,226,473,3,0,1462,0
Bremer,IA,24947,55.7,2,74646,12348,12599,5567,2885,2682,14494,7253,7241,4886,2210,2676,759,255,504,0,0,2481,180
Buchanan,IA,21199,36.7,2.6,59724,10542,10657,5531,2792,2739,11882,6000,5882,3786,1750,2036,506,173,333,0,0,1077,0
Buena Vista,IA,19874,35.2,2.1,52683,10095,9779,5060,2590,2470,11616,6022,5594,3198,1483,1715,553,195,358,5,0,6105,0
Butler,IA,14539,25.6,2.7,57971,7257,7282,3271,1695,1576,8021,4073,3948,3247,1489,1758,543,203,340,0,0,473,2
Calhoun,IA,9699,17,2.5,54865,5005,4694,2083,1063,1020,5391,2945,2446,2225,997,1228,395,133,262,2,0,45,0
Carroll,IA,20154,36.6,1.9,60531,9924,10230,4939,2520,2419,11120,5611,5509,4095,1793,2302,750,263,487,6,0,269,0
Cass,IA,12930,24.7,2.7,50356,6368,6562,2887,1504,1383,7046,3562,3484,2997,1302,1695,470,145,325,4,0,153,0
Cedar,IA,18627,31.9,2.4,67597,9271,9356,4117,2104,2013,10840,5482,5358,3670,1685,1985,592,201,391,0,0,1972,25
Cerro Gordo,IA,42647,77.7,2.6,51939,20870,21777,8819,4555,4264,24542,12256,12286,9286,4059,5227,1525,480,1045,18,2571839764,986,11
Cherokee,IA,11321,20.9,2.2,56312,5692,5629,2468,1283,1185,6132,3162,2970,2721,1247,1474,552,207,345,0,0,350,0
Chickasaw,IA,11964,24.7,2.7,64190,6055,5909,2815,1434,1381,6664,3475,3189,2485,1146,1339,364,136,228,0,0,289,0
Clarke,IA,9423,21.5,2.8,52541,4772,4651,2430,1277,1153,5250,2719,2531,1743,776,967,272,91,181,0,893794901,663,0
Clay,IA,16134,29.4,3.2,56338,7936,8198,3652,1841,1811,9138,4584,4554,3344,1511,1833,619,203,416,0,0,363,0
Clayton,IA,17556,23.3,3.2,53968,8885,8671,3705,1908,1797,9678,5006,4672,4173,1971,2202,655,223,432,0,0,1037,93
Clinton,IA,46518,70.7,3.2,51317,22844,23674,10602,5420,5182,26756,13280,13476,9160,4144,5016,1296,430,866,10,2728944619,2784,36
Crawford,IA,17158,23.9,3.4,54828,8767,8391,4323,2194,2129,9829,5177,4652,3006,1396,1610,477,157,320,0,0,9703,62
Dallas,IA,90180,112.4,1.7,87267,44496,45684,25041,12726,12315,54326,27097,27229,10813,4673,6140,1467,468,999,0,132318871,25430,304
Davis,IA,9017,17.4,2.7,54830,4462,4555,2647,1300,1347,4757,2427,2330,1613,735,878,243,84,159,0,0,388,0
Decatur,IA,7890,15.9,2.2,41101,3940,3950,1727,874,853,4579,2343,2236,1584,723,861,266,93,173,0,0,5,0
Delaware,IA,17069,30.7,2.1,61342,8611,8458,4031,2063,1968,9746,4977,4769,3292,1571,1721,479,174,305,0,0,412,10
Des Moines,IA,39138,96.9,3.3,51805,19041,20097,8806,4425,4381,22182,10996,11186,8150,3620,4530,1206,411,795,12,1906723132,1551,36
Dickinson,IA,17153,43.8,3.2,55603,8521,8632,3288,1714,1574,9380,4762,4618,4485,2045,2440,642,234,408,3,0,337,0
Dubuque,IA,96854,154,2.4,60367,47863,48991,22037,11250,10787,57408,29011,28397,17409,7602,9807,2617,810,1807,18,4430119369,9152,375
Emmet,IA,9253,26,2.7,51497,4646,4607,1911,952,959,5363,2810,2553,1979,884,1095,334,103,231,0,0,123,0
Fayette,IA,19660,28.6,3,50893,9910,9750,4092,2116,1976,11341,5906,5435,4227,1888,2339,665,222,443,0,0,991,0
Floyd,IA,15761,32.6,2.7,53811,7793,7968,3640,1878,1762,8684,4342,4342,3437,1573,1864,485,180,305,0,0,304,22
Franklin,IA,10124,18.4,2.1,59367,5099,5025,2349,1232,1117,5650,2877,2773,2125,990,1135,355,119,236,0,0,252,0
Fremont,IA,6993,14.6,1.9,54658,3488,3505,1567,814,753,3842,1947,1895,1584,727,857,246,81,165,0,0,77,0
Greene,IA,8981,16.4,2.3,51861,4430,4551,2078,1074,1004,4920,2474,2446,1983,882,1101,329,100,229,4,0,418,0
Grundy,IA,12304,24.8,2.5,65060,6072,6232,2818,1397,1421,6917,3530,3387,2569,1145,1424,397,122,275,0,0,646,0
Guthrie,IA,10720,18.5,2.6,60306,5350,5370,2401,1230,1171,5912,3013,2899,2407,1107,1300,368,113,255,0,0,1245,52
Hamilton,IA,14952,27.2,2.7,56738,7451,7501,3389,1734,1655,8498,4363,4135,3065,1354,1711,542,176,366,0,0,562,0
Hancock,IA,10712,19.9,2.3,60859,5365,5347,2325,1191,1134,5980,3051,2929,2407,1123,1284,401,117,284,0,0,337,0
Hardin,IA,16868,30.8,2.8,55303,8467,8401,3367,1755,1612,9785,5068,4717,3716,1644,2072,668,235,433,0,0,467,0
Harrison,IA,14134,21.4,2.2,60044,7065,7069,3278,1667,1611,8071,4122,3949,2785,1276,1509,435,143,292,0,0,999,0
Henry,IA,20067,46.4,2.5,55856,10349,9718,4334,2215,2119,11927,6421,5506,3806,1713,2093,528,171,357,0,710862103,2194,57
Howard,IA,9187,20.2,2.5,53500,4582,4605,2278,1156,1122,4991,2543,2448,1918,883,1035,333,122,211,0,0,454,0
Humboldt,IA,9547,22.6,2.5,60166,4703,4844,2235,1123,1112,5257,2656,2601,2055,924,1131,354,121,233,0,0,302,0
Ida,IA,6841,16.4,2,60312,3415,3426,1656,873,783,3666,1848,1818,1519,694,825,266,84,182,0,0,172,0
Jackson,IA,19432,31.2,2.8,54663,9698,9734,4331,2213,2118,11040,5628,5412,4061,1857,2204,632,232,400,0,0,378,0
Jasper,IA,37147,50.4,2.6,60378,18996,18151,8346,4274,4072,21692,11586,10106,7109,3136,3973,1106,374,732,4,0,8555,328
Jefferson,IA,18381,38.7,2.4,46715,10127,8254,2858,1457,1401,11404,6717,4687,4119,1953,2166,478,173,305,0,0,501,0
Johnson,IA,151260,213.1,1.9,64387,75011,76249,30183,15238,14945,103341,51795,51546,17736,7978,9758,2212,761,1451,95,4673118997,26080,295
Jones,IA,20744,35.9,3,55405,10715,10029,4439,2292,2147,12032,6420,5612,4273,2003,2270,661,214,447,0,0,1380,0
Keokuk,IA,10225,18.1,2.9,52122,5201,5024,2346,1269,1077,5687,2920,2767,2192,1012,1180,384,133,251,0,0,373,0
Kossuth,IA,14908,16,2,55486,7507,7401,3268,1710,1558,8102,4178,3924,3538,1619,1919,629,240,389,0,0,181,0
Lee,IA,34055,69.3,4,48241,17161,16894,7297,3762,3535,19841,10311,9530,6917,3088,3829,902,289,613,10,249683395,667,0
Linn,IA,225909,294.6,2.8,64878,111266,114643,52510,26888,25622,137697,68671,69026,35702,15707,19995,4692,1616,3076,44,3000701399,37269,2649
Louisa,IA,11169,28.3,2.6,49585,5700,5469,2526,1331,1195,6578,3419,3159,2065,950,1115,285,93,192,0,0,13752,181
Lucas,IA,8645,20.7,2,49956,4406,4239,2008,1061,947,4755,2453,2302,1882,892,990,273,96,177,0,0,107,0
Lyon,IA,11811,19.7,1.5,69048,5994,5817,3347,1784,1563,6324,3249,3075,2140,961,1179,409,141,268,0,0,671,0
Madison,IA,16249,27.9,3.2,74794,8114,8135,4047,2127,1920,9442,4695,4747,2760,1292,1468,363,114,249,0,0,588,53
Mahaska,IA,22000,39.2,2.5,56492,11143,10857,5266,2759,2507,12707,6561,6146,4027,1823,2204,640,205,435,0,1353203643,1493,108
Marion,IA,33407,60.1,2,63491,16705,16702,7892,4077,3815,19558,9934,9624,5957,2694,3263,797,273,524,3,0,751,0
Marshall,IA,39981,71,4.4,59552,20231,19750,10109,5230,4879,22600,11667,10933,7272,3334,3938,1142,415,727,0,2034306376,28106,218
Mills,IA,15063,34.4,2.1,64271,7580,7483,3553,1818,1735,8736,4433,4303,2774,1329,1445,313,114,199,0,0,367,0
Mitchell,IA,10569,23,1.9,59558,5268,5301,2496,1281,1215,5837,2989,2848,2236,998,1238,436,151,285,0,0,175,0
Monona,IA,8679,13.3,2.8,50530,4235,4444,1916,956,960,4627,2342,2285,2136,937,1199,406,111,295,0,0,708,0
Monroe,IA,7790,18.4,2.9,56541,3858,3932,1848,920,928,4387,2222,2165,1555,716,839,202,71,131,0,0,564,51
Montgomery,IA,10003,25.3,2.4,49966,4876,5127,2274,1144,1130,5585,2787,2798,2144,945,1199,377,114,263,8,0,170,0
Muscatine,IA,42929,97.7,2.6,58465,21452,21477,10691,5491,5200,25093,12723,12370,7145,3238,3907,914,313,601,5,2852119263,20230,1014
O'Brien,IA,13840,25.1,2,53147,6927,6913,3292,1707,1585,7689,3982,3707,2859,1238,1621,592,195,397,0,0,720,0
Osceola,IA,6040,16.2,1.9,60627,3082,2958,1441,771,670,3300,1727,1573,1299,584,715,233,85,148,0,0,834,0
Page,IA,15249,29.8,2.5,54313,8051,7198,2949,1610,1339,8896,4908,3988,3404,1533,1871,560,174,386,2,0,424,0
Palo Alto,IA,8929,16.7,2.2,55322,4449,4480,2037,1064,973,4934,2539,2395,1958,846,1112,390,122,268,0,0,60,0
Plymouth,IA,25095,29,1.9,66360,12530,12565,6272,3208,3064,14212,7211,7001,4611,2111,2500,710,230,480,0,0,2599,9
Pocahontas,IA,6740,12.7,1.8,55865,3354,3386,1544,760,784,3644,1876,1768,1552,718,834,245,93,152,0,0,141,0
Polk,IA,487204,750.5,2.5,68479,240245,246959,121315,61812,59503,302258,150752,151506,63631,27681,35950,8245,2755,5490,112,3486675279,98885,2816
Pottawattamie,IA,93533,98,2.3,56337,46030,47503,22030,11312,10718,55168,27444,27724,16335,7274,9061,2161,769,1392,29,2219681972,4995,135
Poweshiek,IA,18699,32.3,2.3,56170,9061,9638,3643,1845,1798,11169,5491,5678,3887,1725,2162,623,209,414,5,0,3107,246
Ringgold,IA,4968,9.6,2.8,48754,2454,2514,1167,619,548,2582,1296,1286,1219,539,680,249,71,178,0,0,39,0
Sac,IA,9719,18,2.4,56698,4791,4928,2176,1104,1072,5260,2670,2590,2283,1017,1266,440,126,314,0,0,211,0
Scott,IA,173283,360.7,3,59865,84974,88309,41080,20697,20383,104061,51661,52400,28142,12616,15526,3765,1294,2471,46,2412637147,13398,327
Shelby,IA,11578,20.6,2,58862,5725,5853,2603,1344,1259,6357,3199,3158,2618,1182,1436,518,193,325,0,0,926,0
Sioux,IA,34909,43.9,1.8,70162,17575,17334,9433,4847,4586,19940,10237,9703,5536,2491,3045,983,330,653,0,0,4111,0
Story,IA,98105,156.3,1.6,57464,51227,46878,16245,8322,7923,70048,37571,32477,11812,5334,6478,1682,582,1100,14,5981814979,2668,34
Tama,IA,16904,24.6,3,56954,8471,8433,4075,2100,1975,9494,4838,4656,3335,1533,1802,552,181,371,0,0,15037,645
Taylor,IA,6191,11.9,2,47781,3141,3050,1455,791,664,3367,1692,1675,1369,658,711,214,86,128,0,0,457,0
Union,IA,12359,29.6,3.5,49887,5991,6368,2744,1364,1380,7071,3482,3589,2544,1145,1399,388,135,253,4,87527556,121,0
Van Buren,IA,7020,15.6,2.7,47905,3613,3407,1601,891,710,3843,1960,1883,1576,762,814,191,82,109,0,0,468,0
Wapello,IA,35205,82.5,3.4,48226,17539,17666,7931,4024,3907,20937,10689,10248,6337,2826,3511,886,301,585,11,38501874,10610,76
Warren,IA,51056,81.1,2.3,78192,25173,25883,12657,6536,6121,30374,15025,15349,8025,3612,4413,959,318,641,0,520585,2688,0
Washington,IA,22141,38.2,2.3,65849,10939,11202,5493,2814,2679,12376,6236,6140,4272,1889,2383,692,213,479,0,0,8168,359
Wayne,IA,6401,12.2,2.7,46725,3146,3255,1625,817,808,3360,1704,1656,1416,625,791,243,72,171,0,0,31,0
Webster,IA,36277,53.1,3.3,52093,18779,17498,7884,4111,3773,21739,11699,10040,6654,2969,3685,934,337,597,8,3813674614,614,18
Winnebago,IA,10518,27.1,2.6,54433,5185,5333,2319,1116,1203,5936,3080,2856,2263,989,1274,421,113,308,0,0,249,0
Winneshiek,IA,20029,30.5,2.7,61807,9993,10036,3709,1922,1787,12176,6169,6007,4144,1902,2242,676,242,434,0,0,869,0
Woodbury,IA,102539,117.1,2.5,60059,50815,51724,26742,13543,13199,60326,30415,29911,15471,6857,8614,1982,681,1301,33,3357579014,67405,510
Worth,IA,7453,19,2.7,58587,3767,3686,1540,811,729,4382,2236,2146,1531,720,811,225,69,156,0,0,92,0
Wright,IA,12690,22.8,2.6,54802,6379,6311,3040,1543,1497,6766,3500,3266,2884,1336,1548,548,202,346,0,0,1637,0
Allen,KS,12444,26.7,4,44423,6131,6313,2790,1462,1328,7077,3554,3523,2577,1115,1462,375,111,264,0,0,,
Anderson,KS,7878,14,3.5,50646,3911,3967,1997,1033,964,4205,2113,2092,1676,765,911,249,91,158,0,0,23,0
Atchison,KS,16193,39.3,4.6,49332,7861,8332,3781,1940,1841,9633,4697,4936,2779,1224,1555,388,127,261,4,0,606,0
Barber,KS,4472,4.3,2.6,47634,2301,2171,1024,543,481,2421,1257,1164,1027,501,526,146,56,90,0,0,55,0
Barton,KS,26111,30.9,3.3,49991,12899,13212,6207,3169,3038,14886,7458,7428,5018,2272,2746,851,304,547,4,0,1044,26
Bourbon,KS,14653,23.9,4.2,41807,7242,7411,3764,1938,1826,8000,4021,3979,2889,1283,1606,447,152,295,0,0,391,55
Brown,KS,9598,17.5,3,47529,4737,4861,2424,1238,1186,5206,2602,2604,1968,897,1071,274,83,191,0,0,97,0
Butler,KS,66765,46.1,3.5,65953,33594,33171,16996,8665,8331,39640,20397,19243,10129,4532,5597,1406,498,908,16,0,1059,0
Chase,KS,2629,3.6,2.6,50981,1338,1291,525,262,263,1443,772,671,661,304,357,99,30,69,0,0,104,0
Chautauqua,KS,3309,5.7,4,41129,1703,1606,658,349,309,1766,930,836,885,424,461,125,49,76,0,0,213,0
Cherokee,KS,20015,36.8,3.8,44475,9844,10171,4610,2356,2254,11542,5731,5811,3863,1757,2106,428,152,276,0,0,467,0
Cheyenne,KS,2660,2.7,2.4,43274,1348,1312,567,323,244,1376,711,665,717,314,403,160,55,105,0,0,65,0
Clark,KS,2005,2.3,2.4,51235,995,1010,483,254,229,1082,552,530,440,189,251,91,27,64,0,0,634,0
Clay,KS,7997,13.2,3.2,52681,4001,3996,1883,984,899,4276,2189,2087,1838,828,1010,320,122,198,0,0,208,35
Cloud,KS,8729,13.3,3.5,44467,4330,4399,1952,1001,951,4892,2540,2352,1885,789,1096,339,83,256,0,0,204,0
Coffey,KS,8233,13.7,4.8,58371,4064,4169,1796,913,883,4671,2325,2346,1766,826,940,216,76,140,0,0,2760,366
Comanche,KS,1748,2.4,2.5,46818,849,899,415,204,211,886,440,446,447,205,242,60,25,35,0,0,13,0
Cowley,KS,35218,32.3,3.4,47864,17716,17502,8319,4270,4049,20479,10539,9940,6420,2907,3513,947,331,616,4,0,158,53
Crawford,KS,39019,66.4,4,43852,19574,19445,8490,4446,4044,24474,12516,11958,6055,2612,3443,927,272,655,12,0,391,63
Decatur,KS,2871,3.3,3,44774,1443,1428,558,299,259,1505,776,729,808,368,440,191,57,134,0,0,,
Dickinson,KS,18717,23.3,3.5,50605,9433,9284,4439,2321,2118,10580,5434,5146,3698,1678,2020,636,221,415,0,0,97,0
Doniphan,KS,7682,20.2,3.5,50949,3863,3819,1626,797,829,4554,2351,2203,1502,715,787,222,74,148,0,251194574,325,0
Douglas,KS,121436,243.1,3.1,57120,60520,60916,22089,11421,10668,84393,42340,42053,14954,6759,8195,1890,614,1276,10,5193346431,3216,0
Edwards,KS,2849,4.9,2.4,46962,1449,1400,665,344,321,1578,803,775,606,302,304,69,28,41,0,0,153,0
Elk,KS,2508,4.5,3.3,37360,1267,1241,543,287,256,1236,637,599,729,343,386,92,34,58,0,0,,
Ellis,KS,28710,31.6,2.4,53840,14458,14252,6198,3207,2991,18096,9231,8865,4416,2020,2396,692,254,438,34,0,383,0
Ellsworth,KS,6196,9.1,2.8,50261,3503,2693,1137,595,542,3762,2304,1458,1297,604,693,200,72,128,0,0,52,0
Finney,KS,36611,28.2,2.5,56206,18844,17767,11038,5659,5379,21539,11291,10248,4034,1894,2140,556,202,354,8,298117395,36175,176
Ford,KS,33888,30.8,2.6,56052,17584,16304,10213,5267,4946,19883,10574,9309,3792,1743,2049,636,228,408,10,595439506,44591,56
Franklin,KS,25631,45.5,3.6,58033,12785,12846,6090,3123,2967,15279,7713,7566,4262,1949,2313,484,158,326,5,0,1237,0
Geary,KS,32594,89.3,4.8,50856,17216,15378,10029,5160,4869,19747,10842,8905,2818,1214,1604,356,117,239,6,0,703,0
Gove,KS,2612,2.5,2.2,49626,1315,1297,626,317,309,1351,709,642,635,289,346,132,44,88,0,0,66,0
Graham,KS,2492,2.9,3.2,41906,1236,1256,484,255,229,1324,669,655,684,312,372,114,50,64,0,0,,
Grant,KS,7336,13.6,2.8,61614,3684,3652,2257,1156,1101,4076,2087,1989,1003,441,562,117,32,85,0,0,422,0
Gray,KS,6033,6.9,2,65771,3037,2996,1749,902,847,3374,1706,1668,910,429,481,132,53,79,0,0,427,0
Greeley,KS,1227,1.6,2,51606,588,639,319,152,167,654,323,331,254,113,141,59,20,39,0,0,,
Greenwood,KS,6055,5.9,3.6,43083,3026,3029,1317,674,643,3229,1623,1606,1509,729,780,224,77,147,0,0,155,0
Hamilton,KS,2607,2.7,2,51559,1351,1256,749,407,342,1493,758,735,365,186,179,32,11,21,0,0,344,0
Harper,KS,5506,7.5,2.9,45570,2757,2749,1372,717,655,2867,1490,1377,1267,550,717,213,56,157,0,0,37,0
Harvey,KS,34210,64.3,3.2,57934,16893,17317,8242,4212,4030,19286,9709,9577,6682,2972,3710,1213,425,788,6,613758494,520,29
Haskell,KS,3997,7.4,2.2,60808,2008,1989,1125,593,532,2281,1133,1148,591,282,309,67,21,46,0,0,518,0
Hodgeman,KS,1818,2.2,2.5,54058,905,913,413,200,213,969,487,482,436,218,218,68,36,32,0,0,19,0
Jackson,KS,13280,20.5,3,56330,6644,6636,3308,1693,1615,7442,3774,3668,2530,1177,1353,292,124,168,0,0,1235,5
Jefferson,KS,18975,35.9,3.3,69246,9661,9314,4328,2257,2071,11109,5680,5429,3538,1724,1814,436,181,255,0,0,683,0
Jewell,KS,2841,3.4,2.8,44271,1452,1389,539,279,260,1446,759,687,856,414,442,146,56,90,0,0,206,0
Johnson,KS,597555,1149.6,2.9,87087,293223,304332,145643,74204,71439,365189,180684,184505,86723,38335,48388,11436,4012,7424,110,1937069185,30680,2361
Kearny,KS,3943,4.6,2.4,63248,1967,1976,1142,613,529,2189,1101,1088,612,253,359,88,29,59,0,0,1165,13
Kingman,KS,7310,9.1,3.2,56005,3663,3647,1604,850,754,4121,2073,2048,1585,740,845,263,115,148,0,0,,
Kiowa,KS,2516,3.5,2.4,64399,1234,1282,574,271,303,1390,707,683,552,256,296,100,42,58,0,0,68,0
Labette,KS,19964,33.5,4,44571,9931,10033,4792,2456,2336,11360,5776,5584,3812,1699,2113,548,166,382,5,0,1150,0
Lane,KS,1560,2.4,2.8,59240,788,772,345,189,156,848,428,420,367,171,196,56,17,39,0,0,24,0
Leavenworth,KS,81352,164.7,3.6,70807,43269,38083,19284,9831,9453,50289,28001,22288,11779,5437,6342,1281,446,835,10,0,31873,251
Lincoln,KS,3023,4.5,2.5,44439,1500,1523,679,354,325,1605,802,803,739,344,395,153,44,109,0,0,,
Linn,KS,9750,16.3,5.9,47153,4937,4813,2189,1122,1067,5381,2745,2636,2180,1070,1110,264,112,152,0,0,425,0
Logan,KS,2844,2.6,2.2,50267,1414,1430,685,353,332,1567,810,757,592,251,341,110,34,76,0,0,,
Lyon,KS,33406,39.8,3.5,47982,16223,17183,7439,3800,3639,20892,10141,10751,5075,2282,2793,808,275,533,6,0,12916,88
McPherson,KS,28537,32.5,2.6,58017,13992,14545,6538,3267,3271,16339,8244,8095,5660,2481,3179,1090,359,731,7,0,1241,0
Marion,KS,11950,13.4,3.1,51712,5943,6007,2532,1291,1241,6635,3366,3269,2783,1286,1497,512,185,327,0,0,318,35
Marshall,KS,9722,11.2,2.6,51066,4841,4881,2317,1168,1149,5293,2690,2603,2112,983,1129,379,153,226,0,0,,
Meade,KS,4146,4.7,2.1,67220,2104,2042,1061,572,489,2286,1144,1142,799,388,411,156,71,85,0,0,658,0
Miami,KS,33680,57,3.6,71770,16735,16945,8257,4192,4065,19792,9980,9812,5631,2563,3068,752,260,492,0,0,296,0
Mitchell,KS,6150,9.1,2.3,51514,3113,3037,1433,725,708,3267,1710,1557,1450,678,772,264,94,170,4,0,187,0
Montgomery,KS,32120,55.1,4.3,42479,15909,16211,7635,3941,3694,18096,9139,8957,6389,2829,3560,921,292,629,7,0,972,116
Morris,KS,5521,8.5,2.8,49287,2761,2760,1132,575,557,3024,1546,1478,1365,640,725,241,99,142,0,0,199,0
Morton,KS,2667,4.4,3.3,53785,1323,1344,647,327,320,1479,757,722,541,239,302,112,35,77,0,0,161,0
Nemaha,KS,10155,14.2,2.3,59567,5140,5015,2639,1370,1269,5468,2845,2623,2048,925,1123,468,161,307,0,0,162,0
Neosho,KS,15951,28.9,4.9,46176,7902,8049,3929,1993,1936,8858,4502,4356,3164,1407,1757,496,168,328,5,0,131,0
Ness,KS,2840,2.9,2.8,51757,1401,1439,619,300,319,1486,774,712,735,327,408,147,46,101,0,0,14,0
Norton,KS,5430,6.5,2.1,47252,3035,2395,1040,524,516,3278,2021,1257,1112,490,622,216,64,152,0,0,60,0
Osage,KS,15941,23.1,3.8,53864,7989,7952,3724,1941,1783,9054,4538,4516,3163,1510,1653,404,176,228,0,0,316,0
Osborne,KS,3475,4.3,2.6,46101,1756,1719,710,384,326,1897,987,910,868,385,483,173,58,115,0,0,117,0
Ottawa,KS,5802,8.5,2.9,56451,3009,2793,1312,710,602,3307,1729,1578,1183,570,613,131,52,79,0,0,214,0
Pawnee,KS,6562,9.2,3.2,47039,3683,2879,1079,616,463,4106,2441,1665,1377,626,751,225,66,159,0,0,,
Phillips,KS,5317,6.4,2.5,47405,2638,2679,1199,620,579,2847,1428,1419,1271,590,681,195,63,132,0,0,68,0
Pottawatomie,KS,24277,25.7,2.8,69975,12063,12214,7073,3556,3517,13741,6917,6824,3463,1590,1873,470,150,320,0,0,833,0
Pratt,KS,9378,13.1,2.8,52567,4638,4740,2313,1183,1130,5170,2620,2550,1895,835,1060,354,106,248,6,0,64,0
Rawlins,KS,2508,2.4,2.1,46638,1267,1241,526,274,252,1282,673,609,700,320,380,113,36,77,0,0,,
Reno,KS,62342,51.4,3.6,49341,31304,31038,13969,7139,6830,36053,18769,17284,12320,5396,6924,2030,689,1341,20,289518395,2011,0
Republic,KS,4664,6.9,2.7,48566,2305,2359,968,498,470,2402,1218,1184,1294,589,705,265,96,169,0,0,218,0
Rice,KS,9531,13.9,2.9,51686,4760,4771,2166,1079,1087,5522,2882,2640,1843,799,1044,271,91,180,0,0,133,0
Riley,KS,73703,116.6,2.9,47057,38675,35028,12281,6225,6056,54413,29297,25116,7009,3153,3856,1084,401,683,8,0,2627,20
Rooks,KS,5013,5.8,3.2,47365,2419,2594,1117,527,590,2783,1400,1383,1113,492,621,176,58,118,0,0,293,0
Rush,KS,3093,4.6,2.7,44121,1588,1505,646,357,289,1679,875,804,768,356,412,147,55,92,0,0,,
Russell,KS,6907,7.9,3,45879,3406,3501,1494,781,713,3724,1861,1863,1689,764,925,318,123,195,0,0,,
Saline,KS,54401,77.2,3.1,53961,26984,27417,12589,6414,6175,32056,16227,15829,9756,4343,5413,1460,525,935,18,3297647515,1177,106
Scott,KS,4897,6.9,2,63790,2467,2430,1319,687,632,2630,1324,1306,948,456,492,159,51,108,0,0,269,0
Sedgwick,KS,513607,499.6,3.8,56381,254106,259501,131919,67183,64736,307201,153335,153866,74487,33588,40899,9604,3553,6051,236,241346358,22660,691
Seward,KS,21780,35.9,3.3,50671,11052,10728,6909,3435,3474,12741,6677,6064,2130,940,1190,291,85,206,8,0,26185,22
Shawnee,KS,177499,327.1,3.5,53612,85958,91541,41950,21467,20483,103253,50259,52994,32296,14232,18064,4356,1477,2879,52,3389645327,8512,300
Sheridan,KS,2533,2.9,2.3,50553,1274,1259,637,323,314,1312,684,628,584,267,317,123,43,80,0,0,82,0
Sherman,KS,5899,5.7,2.8,45966,2959,2940,1403,715,688,3359,1723,1636,1137,521,616,163,55,108,0,0,200,0
Smith,KS,3603,4.3,2.5,41899,1792,1811,734,367,367,1872,952,920,997,473,524,208,90,118,0,0,92,0
Stafford,KS,4178,5.6,2.7,47835,2121,2057,979,517,462,2272,1174,1098,927,430,497,179,66,113,0,0,64,0
