County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
Limestone,AL,96174,147.8,3.5,64863,48156,48018,21696,10961,10735,59870,30627,29243,14608,6568,8040,1391,442,949,10,0,3272,0
Lowndes,AL,9974,15.8,7.3,33973,4670,5304,2256,1120,1136,5838,2760,3078,1880,790,1090,215,61,154,0,0,5033,242
Macon,AL,18439,35.2,5.5,32495,8383,10056,3118,1572,1546,11565,5239,6326,3756,1572,2184,425,129,296,0,0,2266,109
Madison,AL,366519,417.7,3.5,63755,179074,187445,79966,40842,39124,231428,114090,117338,55125,24142,30983,6223,2299,3924,100,1318243629,14535,223
Marengo,AL,19066,21.5,5,37733,8933,10133,4335,2143,2192,10994,5175,5819,3737,1615,2122,510,161,349,5,0,4057,198
Marion,AL,29763,41.5,4.1,37887,14686,15077,6183,3216,2967,17259,8689,8570,6321,2781,3540,701,230,471,4,0,4725,389
Marshall,AL,96109,164.4,3.4,46233,47502,48607,23936,12310,11626,55798,28113,27685,16375,7079,9296,1679,551,1128,20,0,22128,347
Mobile,AL,413757,335.9,4.7,43598,197077,216680,96711,48979,47732,250005,119243,130762,67041,28855,38186,7238,2389,4849,157,2366533017,68717,3661
Monroe,AL,21067,22.5,6.2,39556,10005,11062,4543,2315,2228,12249,5829,6420,4275,1861,2414,567,179,388,8,0,909,73
Montgomery,AL,225763,292.5,4,49640,106522,119241,52774,26729,26045,138816,65532,73284,34173,14261,19912,4012,1359,2653,88,2254941713,33308,778
Morgan,AL,119089,206.3,3.5,52797,58682,60407,27168,13926,13242,71118,35657,35461,20803,9099,11704,2190,762,1428,34,0,5516,20
Perry,AL,9140,14.7,6.5,26814,4281,4859,1942,1005,937,5424,2561,2863,1774,715,1059,235,67,168,0,0,896,0
Pickens,AL,19938,22.4,4.6,37586,9948,9990,3921,2058,1863,12224,6167,6057,3793,1723,2070,430,159,271,4,0,3312,101
Pike,AL,33338,48.9,4.5,37259,16098,17240,6328,3284,3044,22023,10603,11420,4987,2211,2776,565,173,392,9,0,4667,0
Randolph,AL,22725,39.5,4,40546,11056,11669,4874,2499,2375,13226,6474,6752,4625,2083,2542,491,152,339,0,0,4605,287
Russell,AL,57781,82.6,4,39104,27745,30036,13968,7156,6812,35533,17141,18392,8280,3448,4832,893,240,653,8,1069956433,4195,0
St. Clair,AL,88690,132.3,3.5,57284,44027,44663,20126,10463,9663,53826,26978,26848,14738,6586,8152,1301,464,837,6,0,4358,26
Shelby,AL,215707,248.5,2.9,75663,104270,111437,50645,25548,25097,131975,63992,67983,33087,14730,18357,3416,1228,2188,32,0,19863,741
Sumter,AL,12691,15.2,5.9,27859,5802,6889,2407,1212,1195,7998,3662,4336,2286,928,1358,360,93,267,0,0,5232,156
Talladega,AL,79828,111.7,4.3,41630,38580,41248,16918,8449,8469,48540,23688,24852,14370,6443,7927,1357,477,880,14,0,3698,98
Tallapoosa,AL,40497,58.1,4.2,42205,19632,20865,8369,4292,4077,23397,11338,12059,8731,4002,4729,814,330,484,6,0,15470,1778
Tuscaloosa,AL,208911,147.3,3.7,52557,100589,108322,43761,22250,21511,137407,66372,71035,27743,11967,15776,3153,987,2166,84,1465906955,16492,245
Walker,AL,63711,84.7,4.2,45434,31040,32671,14143,7212,6931,37257,18425,18832,12311,5403,6908,1067,369,698,12,0,7623,16
Washington,AL,16378,16.3,5.8,44424,8055,8323,3604,1853,1751,9644,4788,4856,3130,1414,1716,325,120,205,0,0,2201,158
Wilcox,AL,10627,13.1,9.6,25385,5056,5571,2525,1243,1282,6036,2890,3146,2066,923,1143,249,67,182,0,300286358,4117,173
Winston,AL,23660,39.9,4.2,41156,11655,12005,4833,2477,2356,13726,6889,6837,5101,2289,2812,553,180,373,4,0,1516,6
Aleutians East Borough,AK,3515,0.4,3,70081,2374,1141,277,144,133,2914,2042,872,324,188,136,28,18,10,0,0,,
Aleutians West Census Area,AK,5723,1.3,3.5,82633,3750,1973,638,317,321,4691,3188,1503,394,245,149,21,11,10,0,0,,
Anchorage Municipality,AK,291538,171.2,5.5,82113,148384,143154,71339,36543,34796,187866,96609,91257,32333,15232,17101,3007,1100,1907,73,35,,
Bethel Census Area,AK,18216,0.4,12.8,44304,9376,8840,6542,3325,3217,10272,5379,4893,1402,672,730,81,21,60,0,0,76,0
Bristol Bay Borough,AK,877,2,6.3,77257,468,409,167,85,82,583,314,269,127,69,58,5,0,5,0,0,2,0
Denali Borough,AK,2059,0.1,7.8,75477,1146,913,384,219,165,1430,772,658,245,155,90,8,5,3,0,0,,
Dillingham Census Area,AK,5000,0.3,8.2,54524,2518,2482,1578,755,823,2952,1517,1435,470,246,224,35,15,20,0,0,1,0
Fairbanks North Star Borough,AK,98971,13.3,5.8,74268,53310,45661,23861,12249,11612,64906,35788,29118,10204,5273,4931,696,275,421,13,217750067,4973,109
Haines Borough,AK,2474,1.1,9.5,58943,1222,1252,424,202,222,1504,749,755,546,271,275,49,16,33,0,0,,
Hoonah-Angoon Census Area,AK,2151,0.3,12.6,51188,1134,1017,397,193,204,1271,666,605,483,275,208,24,15,9,0,0,,
Juneau City and Borough,AK,32113,11.6,4.4,79173,16313,15800,6830,3488,3342,20985,10756,10229,4298,2069,2229,328,96,232,9,26,1547,0
