County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score
Pasco,FL,539630,622.2,3.8,53788.0,262406.0,277224.0,109651.0,55952.0,53699.0,307874.0,150555.0,157319.0,122105.0,55899.0,66206.0,14844.0,6008.0,8836.0,166.0,1876119014.0
Pinellas,FL,975280,3347.5,3.3,52226.0,467828.0,507452.0,157672.0,80316.0,77356.0,575967.0,279993.0,295974.0,241641.0,107519.0,134122.0,36697.0,13822.0,22875.0,279.0,4655026654.0
Polk,FL,708009,334.9,4.1,51354.0,346929.0,361080.0,156487.0,80214.0,76273.0,408380.0,200892.0,207488.0,143142.0,65823.0,77319.0,16058.0,6743.0,9315.0,145.0,1972592689.0
Putnam,FL,74163,102.2,4.8,39578.0,36699.0,37464.0,15875.0,8188.0,7687.0,41084.0,20290.0,20794.0,17204.0,8221.0,8983.0,1857.0,776.0,1081.0,10.0,731256077.0
St. Johns,FL,254261,316.4,2.9,81925.0,124017.0,130244.0,55165.0,28120.0,27045.0,147616.0,71997.0,75619.0,51480.0,23900.0,27580.0,5574.0,2210.0,3364.0,47.0,746635692.0
St. Lucie,FL,321128,485.7,4.4,53377.0,156975.0,164153.0,63294.0,32915.0,30379.0,180331.0,88021.0,92310.0,77503.0,36039.0,41464.0,9805.0,4200.0,5605.0,69.0,996892105.0
Santa Rosa,FL,179349,149.6,3.3,69541.0,91404.0,87945.0,39352.0,20195.0,19157.0,111352.0,57790.0,53562.0,28645.0,13419.0,15226.0,2533.0,1015.0,1518.0,16.0,6516154.0
Sarasota,FL,426718,682.6,3.4,61652.0,203342.0,223376.0,60616.0,31149.0,29467.0,209593.0,100558.0,109035.0,156509.0,71635.0,84874.0,24207.0,10270.0,13937.0,118.0,3673429609.0
Seminole,FL,467832,1367.0,3.2,67187.0,226010.0,241822.0,98309.0,49761.0,48548.0,296990.0,145046.0,151944.0,72533.0,31203.0,41330.0,9435.0,3373.0,6062.0,38.0,2981861981.0
Sumter,FL,128754,170.8,5.1,55324.0,64194.0,64560.0,9102.0,4618.0,4484.0,45506.0,24166.0,21340.0,74146.0,35410.0,38736.0,5574.0,2750.0,2824.0,0.0,0.0
Suwannee,FL,44191,60.3,3.7,38525.0,22743.0,21448.0,9409.0,4807.0,4602.0,25340.0,13505.0,11835.0,9442.0,4431.0,5011.0,1157.0,429.0,728.0,0.0,0.0
Taylor,FL,21623,21.6,3.8,42307.0,11798.0,9825.0,4357.0,2236.0,2121.0,12846.0,7477.0,5369.0,4420.0,2085.0,2335.0,429.0,180.0,249.0,6.0,0.0
Union,FL,14940,63.8,3.4,45906.0,9623.0,5317.0,2902.0,1492.0,1410.0,9801.0,6937.0,2864.0,2237.0,1194.0,1043.0,163.0,74.0,89.0,0.0,9693697.0
Volusia,FL,547538,449.2,3.7,50285.0,267217.0,280321.0,96836.0,49477.0,47359.0,316969.0,156625.0,160344.0,133733.0,61115.0,72618.0,16979.0,6658.0,10321.0,148.0,3212576735.0
Wakulla,FL,32461,50.8,3.1,58203.0,17327.0,15134.0,6945.0,3572.0,3373.0,20430.0,11275.0,9155.0,5086.0,2480.0,2606.0,402.0,153.0,249.0,0.0,0.0
Walton,FL,71375,53.0,3.1,60973.0,36080.0,35295.0,14423.0,7300.0,7123.0,42275.0,21776.0,20499.0,14677.0,7004.0,7673.0,1340.0,562.0,778.0,28.0,278651455.0
Washington,FL,24880,42.7,3.8,39225.0,13350.0,11530.0,4955.0,2479.0,2476.0,15562.0,8842.0,6720.0,4363.0,2029.0,2334.0,369.0,159.0,210.0,0.0,0.0
Georgia,GA,10519475,168.4,3.9,58634.0,,,,,,,,,,,,,,,,
Appling,GA,18507,36.0,4.3,42781.0,9240.0,9267.0,4574.0,2316.0,2258.0,10744.0,5468.0,5276.0,3189.0,1456.0,1733.0,327.0,105.0,222.0,3.0,0.0
Atkinson,GA,8297,24.7,3.5,36779.0,4188.0,4109.0,2183.0,1108.0,1075.0,4947.0,2515.0,2432.0,1167.0,565.0,602.0,88.0,42.0,46.0,0.0,0.0
Bacon,GA,11185,42.9,3.8,38775.0,5468.0,5717.0,2850.0,1409.0,1441.0,6541.0,3287.0,3254.0,1794.0,772.0,1022.0,155.0,40.0,115.0,4.0,0.0
Baker,GA,3092,10.1,5.1,38288.0,1529.0,1563.0,598.0,296.0,302.0,1798.0,909.0,889.0,696.0,324.0,372.0,97.0,40.0,57.0,0.0,0.0
Baldwin,GA,44823,177.3,5.0,42727.0,22742.0,22081.0,8411.0,4286.0,4125.0,29235.0,15094.0,14141.0,7177.0,3362.0,3815.0,735.0,326.0,409.0,12.0,0.0
Banks,GA,18988,79.3,3.1,55384.0,9645.0,9343.0,4238.0,2251.0,1987.0,11429.0,5838.0,5591.0,3321.0,1556.0,1765.0,242.0,107.0,135.0,0.0,0.0
Barrow,GA,80809,432.7,3.3,61413.0,39597.0,41212.0,20962.0,10661.0,10301.0,49789.0,24590.0,25199.0,10058.0,4346.0,5712.0,943.0,304.0,639.0,6.0,0.0
Bartow,GA,106408,217.9,3.8,57409.0,52478.0,53930.0,25682.0,13140.0,12542.0,65810.0,32662.0,33148.0,14916.0,6676.0,8240.0,1377.0,485.0,892.0,21.0,0.0
Ben Hill,GA,16787,70.5,5.9,35020.0,7965.0,8822.0,4140.0,2072.0,2068.0,9708.0,4700.0,5008.0,2939.0,1193.0,1746.0,298.0,100.0,198.0,5.0,0.0
Berrien,GA,19252,42.7,4.2,39412.0,9454.0,9798.0,4665.0,2349.0,2316.0,11295.0,5610.0,5685.0,3292.0,1495.0,1797.0,358.0,132.0,226.0,0.0,0.0
Bibb,GA,153095,622.8,4.5,41390.0,71847.0,81248.0,37623.0,19230.0,18393.0,91596.0,42818.0,48778.0,23876.0,9799.0,14077.0,2871.0,880.0,1991.0,117.0,
Bleckley,GA,12838,60.5,5.7,46019.0,6124.0,6714.0,2620.0,1368.0,1252.0,8055.0,3833.0,4222.0,2163.0,923.0,1240.0,306.0,101.0,205.0,0.0,0.0
Brantley,GA,18897,41.6,4.5,41874.0,9312.0,9585.0,4437.0,2286.0,2151.0,11320.0,5597.0,5723.0,3140.0,1429.0,1711.0,273.0,105.0,168.0,0.0,0.0
Brooks,GA,15513,32.9,3.9,36354.0,7569.0,7944.0,3380.0,1744.0,1636.0,9057.0,4461.0,4596.0,3076.0,1364.0,1712.0,248.0,103.0,145.0,0.0,0.0
Bryan,GA,38109,69.3,3.4,79658.0,18795.0,19314.0,11160.0,5726.0,5434.0,22899.0,11236.0,11663.0,4050.0,1833.0,2217.0,374.0,132.0,242.0,0.0,0.0
Bulloch,GA,77296,104.4,4.2,43766.0,37919.0,39377.0,15446.0,7755.0,7691.0,52990.0,26209.0,26781.0,8860.0,3955.0,4905.0,837.0,309.0,528.0,24.0,0.0
Burke,GA,22423,28.2,6.0,42785.0,10682.0,11741.0,5842.0,2950.0,2892.0,13084.0,6223.0,6861.0,3497.0,1509.0,1988.0,324.0,115.0,209.0,0.0,0.0
Butts,GA,24193,128.3,4.0,48831.0,12774.0,11419.0,5031.0,2493.0,2538.0,15400.0,8682.0,6718.0,3762.0,1599.0,2163.0,397.0,97.0,300.0,0.0,0.0
Calhoun,GA,6352,23.9,4.3,33393.0,3830.0,2522.0,1111.0,561.0,550.0,4246.0,2832.0,1414.0,995.0,437.0,558.0,156.0,24.0,132.0,0.0,0.0
Camden,GA,53677,82.4,4.2,56555.0,27469.0,26208.0,13088.0,6717.0,6371.0,33270.0,17368.0,15902.0,7319.0,3384.0,3935.0,550.0,223.0,327.0,5.0,0.0
Candler,GA,10836,45.3,3.4,35841.0,5313.0,5523.0,2710.0,1393.0,1317.0,6174.0,3010.0,3164.0,1952.0,910.0,1042.0,174.0,54.0,120.0,6.0,0.0
Carroll,GA,118121,221.5,4.0,52502.0,57613.0,60508.0,28076.0,14469.0,13607.0,73965.0,36101.0,37864.0,16080.0,7043.0,9037.0,1461.0,447.0,1014.0,18.0,0.0
Catoosa,GA,67420,394.3,3.4,55807.0,32610.0,34810.0,15433.0,7984.0,7449.0,40033.0,19519.0,20514.0,11954.0,5107.0,6847.0,1201.0,419.0,782.0,0.0,0.0
Charlton,GA,12968,15.7,4.3,40499.0,7436.0,5532.0,2492.0,1212.0,1280.0,8404.0,5229.0,3175.0,2072.0,995.0,1077.0,228.0,95.0,133.0,0.0,0.0
Chatham,GA,289195,621.7,3.7,54165.0,138978.0,150217.0,61279.0,31140.0,30139.0,183438.0,88656.0,94782.0,44478.0,19182.0,25296.0,5239.0,1794.0,3445.0,78.0,3637930182.0
Chattahoochee,GA,10684,45.3,5.6,46869.0,6843.0,3841.0,2337.0,1226.0,1111.0,7831.0,5382.0,2449.0,516.0,235.0,281.0,59.0,20.0,39.0,0.0,
Chattooga,GA,24790,83.0,4.1,39513.0,12680.0,12110.0,5555.0,2868.0,2687.0,14881.0,7872.0,7009.0,4354.0,1940.0,2414.0,518.0,162.0,356.0,0.0,0.0
Cherokee,GA,254149,508.3,3.1,82733.0,125168.0,128981.0,62093.0,31940.0,30153.0,156676.0,77392.0,79284.0,35380.0,15836.0,19544.0,2706.0,921.0,1785.0,15.0,522439361.0
Clarke,GA,127330,979.1,4.0,42112.0,60322.0,67008.0,21989.0,11147.0,10842.0,91382.0,43387.0,47995.0,13959.0,5788.0,8171.0,1587.0,499.0,1088.0,104.0,0.0
Clay,GA,2887,16.3,7.7,30239.0,1362.0,1525.0,588.0,301.0,287.0,1525.0,715.0,810.0,774.0,346.0,428.0,82.0,25.0,57.0,0.0,0.0
Clayton,GA,289615,1832.5,4.9,46059.0,135554.0,154061.0,80559.0,40804.0,39755.0,182059.0,83369.0,98690.0,26997.0,11381.0,15616.0,1894.0,633.0,1261.0,34.0,3811207271.0
Clinch,GA,6648,8.5,4.6,37593.0,3232.0,3416.0,1693.0,877.0,816.0,3878.0,1869.0,2009.0,1077.0,486.0,591.0,80.0,38.0,42.0,0.0,0.0
Cobb,GA,756865,2026.4,3.4,78603.0,366600.0,390265.0,178546.0,90237.0,88309.0,485542.0,235805.0,249737.0,92777.0,40558.0,52219.0,8948.0,3063.0,5885.0,119.0,2656884172.0
Coffee,GA,43093,73.7,4.5,39480.0,22140.0,20953.0,10534.0,5383.0,5151.0,26629.0,14181.0,12448.0,5930.0,2576.0,3354.0,549.0,194.0,355.0,10.0,0.0
Colquitt,GA,45592,83.6,3.8,38633.0,22585.0,23007.0,11917.0,6146.0,5771.0,26621.0,13380.0,13241.0,7054.0,3059.0,3995.0,770.0,210.0,560.0,10.0,0.0
Columbia,GA,154291,427.6,3.5,82184.0,75273.0,79018.0,39147.0,19799.0,19348.0,94311.0,46073.0,48238.0,20833.0,9401.0,11432.0,2025.0,667.0,1358.0,0.0,136091469.0
Cook,GA,17162,75.8,3.8,38827.0,8268.0,8894.0,4301.0,2189.0,2112.0,10022.0,4811.0,5211.0,2839.0,1268.0,1571.0,266.0,79.0,187.0,0.0,0.0
Coweta,GA,145864,288.8,3.4,70974.0,70983.0,74881.0,35765.0,18047.0,17718.0,89857.0,43830.0,46027.0,20242.0,9106.0,11136.0,1679.0,605.0,1074.0,19.0,0.0
Crawford,GA,12318,38.9,4.2,48004.0,6214.0,6104.0,2537.0,1303.0,1234.0,7465.0,3860.0,3605.0,2316.0,1051.0,1265.0,156.0,56.0,100.0,0.0,0.0
Crisp,GA,22601,86.0,4.9,36096.0,10687.0,11914.0,5464.0,2768.0,2696.0,12920.0,6059.0,6861.0,4217.0,1860.0,2357.0,520.0,172.0,348.0,16.0,0.0
Dade,GA,16226,95.6,3.6,48779.0,7971.0,8255.0,3119.0,1581.0,1538.0,9975.0,4971.0,5004.0,3132.0,1419.0,1713.0,316.0,118.0,198.0,0.0,0.0
Dawson,GA,25083,105.9,3.3,68835.0,12400.0,12683.0,5186.0,2650.0,2536.0,14852.0,7367.0,7485.0,5045.0,2383.0,2662.0,336.0,143.0,193.0,0.0,0.0
Decatur,GA,26575,46.6,4.7,38441.0,12857.0,13718.0,6505.0,3272.0,3233.0,15763.0,7767.0,7996.0,4307.0,1818.0,2489.0,492.0,145.0,347.0,10.0,0.0
DeKalb,GA,756558,2585.7,4.0,63477.0,357770.0,398788.0,174942.0,88769.0,86173.0,487496.0,230365.0,257131.0,94120.0,38636.0,55484.0,10321.0,3341.0,6980.0,168.0,6040597143.0
Dodge,GA,20705,44.0,5.2,35636.0,10787.0,9918.0,4012.0,2042.0,1970.0,12956.0,7103.0,5853.0,3737.0,1642.0,2095.0,393.0,130.0,263.0,6.0,0.0
Dooly,GA,13706,38.1,4.6,37278.0,7451.0,6255.0,2356.0,1156.0,1200.0,8592.0,5014.0,3578.0,2758.0,1281.0,1477.0,284.0,101.0,183.0,0.0,0.0
Dougherty,GA,91243,287.7,5.1,38806.0,41868.0,49375.0,21222.0,10817.0,10405.0,55994.0,25299.0,30695.0,14027.0,5752.0,8275.0,1710.0,536.0,1174.0,50.0,2613475577.0
Douglas,GA,145331,661.8,4.1,60512.0,69035.0,76296.0,37605.0,19140.0,18465.0,90952.0,42721.0,48231.0,16774.0,7174.0,9600.0,1333.0,442.0,891.0,8.0,894896804.0
Early,GA,10247,21.5,4.6,34984.0,4782.0,5465.0,2573.0,1310.0,1263.0,5726.0,2659.0,3067.0,1948.0,813.0,1135.0,239.0,63.0,176.0,0.0,0.0
Echols,GA,4000,9.7,3.2,38667.0,2067.0,1933.0,1066.0,556.0,510.0,2413.0,1282.0,1131.0,521.0,229.0,292.0,60.0,31.0,29.0,0.0,
Effingham,GA,62190,109.4,3.3,65793.0,30999.0,31191.0,16464.0,8522.0,7942.0,38504.0,19210.0,19294.0,7222.0,3267.0,3955.0,602.0,203.0,399.0,0.0,0.0
Elbert,GA,19120,57.4,4.8,39681.0,9147.0,9973.0,4113.0,2074.0,2039.0,11008.0,5341.0,5667.0,3999.0,1732.0,2267.0,466.0,143.0,323.0,4.0,0.0
Emanuel,GA,22612,33.2,5.9,37574.0,11130.0,11482.0,5584.0,2817.0,2767.0,13385.0,6773.0,6612.0,3643.0,1540.0,2103.0,370.0,111.0,259.0,8.0,0.0
Evans,GA,10721,60.2,3.7,37319.0,5216.0,5505.0,2870.0,1471.0,1399.0,6133.0,2979.0,3154.0,1718.0,766.0,952.0,188.0,71.0,117.0,0.0,0.0
Fannin,GA,25964,61.2,3.9,43439.0,12610.0,13354.0,4310.0,2189.0,2121.0,13991.0,6735.0,7256.0,7663.0,3686.0,3977.0,730.0,288.0,442.0,5.0,0.0
Fayette,GA,113459,548.3,3.5,95021.0,55009.0,58450.0,26093.0,13350.0,12743.0,66730.0,32276.0,34454.0,20636.0,9383.0,11253.0,2079.0,688.0,1391.0,37.0,0.0
Floyd,GA,97927,188.9,4.3,44906.0,47307.0,50620.0,22702.0,11563.0,11139.0,58835.0,28651.0,30184.0,16390.0,7093.0,9297.0,1913.0,635.0,1278.0,65.0,0.0
Forsyth,GA,236612,783.5,3.1,105921.0,117339.0,119273.0,64808.0,33165.0,31643.0,143383.0,71504.0,71879.0,28421.0,12670.0,15751.0,2386.0,893.0,1493.0,24.0,1.0
Franklin,GA,23023,84.5,3.8,42904.0,11292.0,11731.0,5006.0,2562.0,2444.0,13641.0,6839.0,6802.0,4376.0,1891.0,2485.0,468.0,147.0,321.0,8.0,0.0
Fulton,GA,1050114,1748.0,4.0,70808.0,508527.0,541587.0,229407.0,116526.0,112881.0,697977.0,340582.0,357395.0,122730.0,51419.0,71311.0,14296.0,4617.0,9679.0,538.0,5585337899.0
Gilmer,GA,30816,66.3,4.2,47757.0,15437.0,15379.0,5906.0,2964.0,2942.0,17259.0,8747.0,8512.0,7651.0,3726.0,3925.0,641.0,225.0,416.0,0.0,0.0
Glascock,GA,2995,21.4,4.2,42820.0,1484.0,1511.0,651.0,358.0,293.0,1806.0,898.0,908.0,538.0,228.0,310.0,84.0,21.0,63.0,0.0,0.0
Glynn,GA,85219,189.7,3.7,53906.0,40136.0,45083.0,18521.0,9355.0,9166.0,49451.0,23268.0,26183.0,17247.0,7513.0,9734.0,1774.0,595.0,1179.0,24.0,0.0
Gordon,GA,57685,155.1,3.8,49101.0,28429.0,29256.0,14047.0,7263.0,6784.0,35078.0,17384.0,17694.0,8560.0,3782.0,4778.0,825.0,286.0,539.0,8.0,0.0
Grady,GA,24748,55.0,3.9,41002.0,11931.0,12817.0,6137.0,3121.0,3016.0,14099.0,6808.0,7291.0,4512.0,2002.0,2510.0,469.0,170.0,299.0,4.0,0.0
Greene,GA,17698,41.3,4.2,54016.0,8521.0,9177.0,3302.0,1682.0,1620.0,9254.0,4369.0,4885.0,5142.0,2470.0,2672.0,411.0,128.0,283.0,0.0,0.0
Gwinnett,GA,927781,1871.2,3.5,72008.0,452986.0,474795.0,249129.0,126337.0,122792.0,585388.0,285678.0,299710.0,93264.0,40971.0,52293.0,8037.0,2829.0,5208.0,82.0,1538743908.0
Habersham,GA,45388,155.5,3.7,51829.0,21450.0,23938.0,10191.0,5139.0,5052.0,26959.0,12525.0,14434.0,8238.0,3786.0,4452.0,818.0,308.0,510.0,4.0,0.0
Hall,GA,202148,457.5,3.2,61631.0,100538.0,101610.0,51265.0,26417.0,24848.0,120777.0,60556.0,60221.0,30106.0,13565.0,16541.0,3165.0,1218.0,1947.0,85.0,1836408122.0
Hancock,GA,8348,20.0,6.0,31716.0,4593.0,3755.0,1294.0,686.0,608.0,5106.0,2998.0,2108.0,1948.0,909.0,1039.0,243.0,66.0,177.0,0.0,0.0
Haralson,GA,29533,102.0,3.9,47662.0,14335.0,15198.0,7095.0,3512.0,3583.0,17665.0,8763.0,8902.0,4773.0,2060.0,2713.0,457.0,161.0,296.0,0.0,0.0
Harris,GA,34475,69.0,3.4,74686.0,17245.0,17230.0,7334.0,3792.0,3542.0,20665.0,10370.0,10295.0,6476.0,3083.0,3393.0,574.0,182.0,392.0,0.0,0.0
Hart,GA,26099,108.5,3.6,47171.0,12929.0,13170.0,5471.0,2868.0,2603.0,14989.0,7518.0,7471.0,5639.0,2543.0,3096.0,583.0,220.0,363.0,0.0,0.0
Heard,GA,11879,40.0,3.9,46218.0,5916.0,5963.0,2694.0,1407.0,1287.0,7111.0,3537.0,3574.0,2074.0,972.0,1102.0,201.0,74.0,127.0,0.0,0.0
Henry,GA,230220,633.0,4.1,72970.0,109748.0,120472.0,58952.0,30034.0,28918.0,144452.0,67950.0,76502.0,26816.0,11764.0,15052.0,2082.0,748.0,1334.0,40.0,222987116.0
Houston,GA,155469,372.5,4.0,60728.0,75339.0,80130.0,39714.0,20315.0,19399.0,95993.0,46436.0,49557.0,19762.0,8588.0,11174.0,1909.0,668.0,1241.0,36.0,2863403.0
Irwin,GA,9398,26.9,5.6,38156.0,4889.0,4509.0,1989.0,1024.0,965.0,5723.0,3137.0,2586.0,1686.0,728.0,958.0,240.0,67.0,173.0,0.0,0.0
Jackson,GA,70422,178.1,3.0,68984.0,34706.0,35716.0,17895.0,9084.0,8811.0,42371.0,21131.0,21240.0,10156.0,4491.0,5665.0,832.0,267.0,565.0,0.0,171212695.0
Jasper,GA,14040,37.8,3.5,51241.0,6866.0,7174.0,3340.0,1721.0,1619.0,8246.0,4044.0,4202.0,2454.0,1101.0,1353.0,233.0,82.0,151.0,0.0,0.0
Jeff Davis,GA,15029,45.6,4.9,37211.0,7408.0,7621.0,3989.0,2060.0,1929.0,8673.0,4278.0,4395.0,2367.0,1070.0,1297.0,182.0,71.0,111.0,4.0,0.0
Jefferson,GA,15430,32.2,5.3,38274.0,7447.0,7983.0,3626.0,1844.0,1782.0,8985.0,4434.0,4551.0,2819.0,1169.0,1650.0,292.0,104.0,188.0,0.0,0.0
Jenkins,GA,8683,24.0,5.4,31419.0,4658.0,4025.0,1762.0,922.0,840.0,5463.0,3131.0,2332.0,1458.0,605.0,853.0,155.0,40.0,115.0,0.0,0.0
Johnson,GA,9708,32.9,4.0,34849.0,5441.0,4267.0,1826.0,903.0,923.0,6058.0,3687.0,2371.0,1824.0,851.0,973.0,244.0,83.0,161.0,0.0,0.0
Jones,GA,28616,72.8,3.7,55737.0,13847.0,14769.0,6628.0,3386.0,3242.0,16940.0,8240.0,8700.0,5048.0,2221.0,2827.0,460.0,152.0,308.0,0.0,0.0
Lamar,GA,19000,99.8,4.6,48323.0,9150.0,9850.0,3913.0,2008.0,1905.0,11864.0,5705.0,6159.0,3223.0,1437.0,1786.0,328.0,125.0,203.0,0.0,0.0
Lanier,GA,10340,54.4,4.4,41564.0,5226.0,5114.0,2478.0,1263.0,1215.0,6406.0,3272.0,3134.0,1456.0,691.0,765.0,125.0,58.0,67.0,0.0,0.0
Laurens,GA,47325,60.0,4.8,42114.0,22395.0,24930.0,11713.0,5924.0,5789.0,27253.0,12989.0,14264.0,8359.0,3482.0,4877.0,1039.0,293.0,746.0,16.0,0.0
Lee,GA,29764,79.5,3.6,66090.0,14924.0,14840.0,7765.0,4040.0,3725.0,18248.0,9135.0,9113.0,3751.0,1749.0,2002.0,296.0,80.0,216.0,0.0,0.0
Liberty,GA,61497,129.5,4.3,47685.0,31168.0,30329.0,17244.0,8800.0,8444.0,38564.0,19838.0,18726.0,5689.0,2530.0,3159.0,394.0,139.0,255.0,0.0,0.0
Lincoln,GA,7915,38.0,5.0,46967.0,3836.0,4079.0,1511.0,763.0,748.0,4519.0,2208.0,2311.0,1885.0,865.0,1020.0,186.0,74.0,112.0,0.0,0.0
Long,GA,18998,36.1,4.0,46428.0,9583.0,9415.0,5141.0,2578.0,2563.0,12026.0,6150.0,5876.0,1831.0,855.0,976.0,207.0,75.0,132.0,0.0,0.0
Lowndes,GA,116321,220.2,4.1,41820.0,56320.0,60001.0,27869.0,14127.0,13742.0,74086.0,36157.0,37929.0,14366.0,6036.0,8330.0,1487.0,477.0,1010.0,48.0,0.0
Lumpkin,GA,32955,105.9,3.6,55583.0,16335.0,16620.0,5798.0,2998.0,2800.0,21371.0,10643.0,10728.0,5786.0,2694.0,3092.0,494.0,186.0,308.0,0.0,0.0
McDuffie,GA,21531,85.0,5.6,42768.0,10081.0,11450.0,5400.0,2694.0,2706.0,12354.0,5826.0,6528.0,3777.0,1561.0,2216.0,327.0,92.0,235.0,0.0,0.0
McIntosh,GA,14340,33.8,4.0,42513.0,7001.0,7339.0,2316.0,1195.0,1121.0,8196.0,3998.0,4198.0,3828.0,1808.0,2020.0,367.0,162.0,205.0,0.0,0.0
Macon,GA,13143,36.8,6.2,32868.0,7203.0,5940.0,2462.0,1219.0,1243.0,8411.0,4949.0,3462.0,2270.0,1035.0,1235.0,190.0,73.0,117.0,0.0,0.0
Madison,GA,29650,99.6,3.5,51338.0,14661.0,14989.0,6837.0,3571.0,3266.0,17781.0,8726.0,9055.0,5032.0,2364.0,2668.0,441.0,165.0,276.0,0.0,0.0
Marion,GA,8351,23.9,5.1,39114.0,4112.0,4239.0,1775.0,868.0,907.0,4905.0,2459.0,2446.0,1671.0,785.0,886.0,129.0,57.0,72.0,0.0,0.0
Meriwether,GA,21068,43.9,5.0,38886.0,10085.0,10983.0,4488.0,2266.0,2222.0,12290.0,5972.0,6318.0,4290.0,1847.0,2443.0,481.0,143.0,338.0,0.0,0.0
Miller,GA,5686,21.7,3.7,42483.0,2725.0,2961.0,1294.0,673.0,621.0,3128.0,1512.0,1616.0,1264.0,540.0,724.0,192.0,67.0,125.0,0.0,0.0
Mitchell,GA,22192,45.9,5.4,36788.0,11510.0,10682.0,5034.0,2614.0,2420.0,13544.0,7391.0,6153.0,3614.0,1505.0,2109.0,395.0,119.0,276.0,0.0,0.0
Monroe,GA,27520,66.8,3.7,59362.0,13723.0,13797.0,5633.0,2890.0,2743.0,16784.0,8486.0,8298.0,5103.0,2347.0,2756.0,595.0,168.0,427.0,0.0,0.0
Montgomery,GA,9193,38.1,5.7,41834.0,4727.0,4466.0,1849.0,934.0,915.0,5769.0,3100.0,2669.0,1575.0,693.0,882.0,113.0,43.0,70.0,0.0,0.0
Morgan,GA,18853,51.4,3.6,57978.0,9068.0,9785.0,4295.0,2178.0,2117.0,10779.0,5198.0,5581.0,3779.0,1692.0,2087.0,374.0,143.0,231.0,0.0,0.0
Murray,GA,39921,115.0,5.3,46810.0,19623.0,20298.0,9891.0,5049.0,4842.0,24099.0,11938.0,12161.0,5931.0,2636.0,3295.0,479.0,176.0,303.0,0.0,0.0
Muscogee,GA,194160,877.5,5.1,46628.0,94349.0,99811.0,48112.0,24533.0,23579.0,120044.0,59252.0,60792.0,26004.0,10564.0,15440.0,3209.0,991.0,2218.0,61.0,22.0
Newton,GA,109541,367.3,4.5,56598.0,51731.0,57810.0,28413.0,14520.0,13893.0,66867.0,31141.0,35726.0,14261.0,6070.0,8191.0,1336.0,401.0,935.0,10.0,0.0
Oconee,GA,39272,178.0,3.0,99497.0,19271.0,20001.0,10505.0,5380.0,5125.0,22812.0,11095.0,11717.0,5955.0,2796.0,3159.0,600.0,238.0,362.0,0.0,0.0
Oglethorpe,GA,15054,33.9,3.7,51105.0,7439.0,7615.0,3148.0,1608.0,1540.0,9068.0,4536.0,4532.0,2838.0,1295.0,1543.0,290.0,96.0,194.0,0.0,0.0
Paulding,GA,164044,455.8,3.4,73309.0,79857.0,84187.0,42844.0,21666.0,21178.0,103806.0,50735.0,53071.0,17394.0,7456.0,9938.0,1342.0,429.0,913.0,8.0,223717077.0
Peach,GA,27297,184.3,5.1,46525.0,13158.0,14139.0,5700.0,2893.0,2807.0,17230.0,8371.0,8859.0,4367.0,1894.0,2473.0,401.0,151.0,250.0,0.0,0.0
Pickens,GA,31980,126.8,3.5,65062.0,15696.0,16284.0,6500.0,3312.0,3188.0,18476.0,9078.0,9398.0,7004.0,3306.0,3698.0,559.0,214.0,345.0,6.0,0.0
Pierce,GA,19389,59.3,3.8,44389.0,9586.0,9803.0,4807.0,2477.0,2330.0,11280.0,5617.0,5663.0,3302.0,1492.0,1810.0,304.0,111.0,193.0,0.0,0.0
Pike,GA,18634,82.7,3.6,66901.0,9164.0,9470.0,4359.0,2259.0,2100.0,11306.0,5543.0,5763.0,2969.0,1362.0,1607.0,280.0,82.0,198.0,0.0,0.0
Polk,GA,42470,133.6,4.2,43679.0,20992.0,21478.0,10778.0,5489.0,5289.0,25117.0,12618.0,12499.0,6575.0,2885.0,3690.0,654.0,220.0,434.0,0.0,0.0
Pulaski,GA,11069,48.2,4.3,40582.0,4774.0,6295.0,2025.0,1029.0,996.0,6541.0,2630.0,3911.0,2503.0,1115.0,1388.0,270.0,86.0,184.0,6.0,0.0
Putnam,GA,21809,61.6,5.0,51205.0,10643.0,11166.0,4348.0,2176.0,2172.0,12215.0,5934.0,6281.0,5246.0,2533.0,2713.0,436.0,186.0,250.0,0.0,0.0
Quitman,GA,2279,16.6,5.5,33908.0,1090.0,1189.0,405.0,195.0,210.0,1163.0,569.0,594.0,711.0,326.0,385.0,74.0,32.0,42.0,0.0,
Rabun,GA,16867,44.0,4.0,44213.0,8295.0,8572.0,2858.0,1441.0,1417.0,9346.0,4679.0,4667.0,4663.0,2175.0,2488.0,446.0,164.0,282.0,0.0,0.0
Randolph,GA,6833,18.0,5.9,28298.0,3157.0,3676.0,1387.0,713.0,674.0,3814.0,1769.0,2045.0,1632.0,675.0,957.0,275.0,73.0,202.0,0.0,0.0
Richmond,GA,201554,618.4,5.1,40168.0,97624.0,103930.0,46063.0,23716.0,22347.0,127149.0,62066.0,65083.0,28342.0,11842.0,16500.0,3015.0,990.0,2025.0,264.0,0.0
