cases,deaths
5330,45
137862,2675
1035,92
153965,9090
134,0
219206,20466
31640,2348
1314,5
7097,109
25784,1671
40,0
8555,623
492,55
1661,77
1766,0
4598,0
11099,267
39,0
852,0
26573,1176
32,0
9365,617
34,0
81,0
411609,7793
30177,1509
25046,711
1365,0
343306,39741
311,53
520,29
762,0
3876,0
1653,110
10650,96
2132,61
808,79
58,0
429,53
17611,1394
43716,2646
7712,305
179640,16036
53885,5122
43445,1137
4014,76
5485,218
2179,59
2085,0
19985,342
768,28
5033,401
1006,46
145955,5240
7285,957
32467,678
170,0
32,0
1511,74
1205,59
19,0
5587,10
11597,742
77,0
24187,522
1138,153
516,0
2088,0
10444,1187
14156,901
1104,0
306,0
129,0
21640,951
71351,2215
277,0
13,0
804876,42914
8,0
130,0
654,0
7120,159
2169,258
2723,134
36652,1912
5782,17
759,100
3250,95
1137,0
82,0
15404,1204
24039,1656
172,0
185,0
32479,591
889,0
5730,343
3741,207
28353,775
1110,39
4419,132
2482,307
1705,0
7961,208
1811,66
3473,84
1063,40
3248,358
670,0
10995,535
5279,108
1242,119
2934,217
453,0
195,0
107119,4516
10285,683
21448,862
1192,0
998,42
672006,36397
5649,366
846,54
5166,194
512,38
4225,107
765,37
2393,0
206,0
123,0
286,0
941,1
112823,6831
11292,785
20607,414
1319,51
360,0
911,50
1547,0
4308,68
25567,1414
990,120
249,13
9265,479
11564,34
147919,4383
31685,1662
38292,915
195,0
1306,0
5730,45
2905,333
377,0
1165,13
54,0
3875,243
1304,26
21979,646
5741,338
31780,709
187897,5750
17858,1222
373,0
62672,808
430,0
15009,579
1063,0
1051,48
572,0
24,0
390280,27392
1979,162
568,13
247,4
457,0
14263,76
3,0
2,0
319,0
1137,103
9203,103
2003,0
44,0
2084,0
529,49
1159,157
178,0
21575,321
46,0
137,0
3605,0
2605,88
181,0
2121,0
1267,81
3633,23
106,0
1953,90
13593,576
5887,255
1150,0
112,0
55542,5092
66,0
38164,1368
37144,2552
401243,15380
13523,360
360,0
1554,54
296,0
138983,10330
574,0
3242,115
19,0
556,73
8924,1279
8186,61
22307,1019
315,0
195,0
39,0
275,0
282,58
28629,1901
925,98
6046,157
367,37
20195,1376
563,24
1771,20
692,0
12507,208
31873,251
37375,754
131938,6467
493,0
8757,926
160611,5700
37,0
5868,90
5179,187
13869,203
211,0
158,0
1037,2
3244,201
1044,0
22823,1035
256,0
10581,61
8227,344
4082,58
73223,1645
43384,3102
67,0
54241,4676
48,0
313,0
39435,2072
198,0
22083,246
320,11
2238,0
25935,1917
319,0
1550800,70078
3102,0
59311,1430
16512,191
262,0
19001,634
29695,2224
78594,6985
85,0
3123,41
291,32
292,0
121625,4845
5114,281
273,0
3234,41
300,41
17079,243
310,0
307543,32173
16554,1158
1739,31
3487,125
120522,6088
25,0
1493,108
159,26
52509,5569
212,48
752,0
6287,112
20928,170
36074,3179
619,0
880,36
1421,51
4057,198
286912,11463
122,0
16315,734
845,65
526656,23232
468,17
3252,10
2607,469
59811,834
22600,689
5030,36
262,0
3677,246
1112,48
242,0
6331,274
3042,29
2289,12
1314,196
3454,68
258,53
346,55
3202,107
608,0
156,0
644,2
430,0
1995,108
1948,37
2568,211
44915,2285
726,15
383,25
706,0
66213,2192
8244,287
5591,211
601,0
4241,282
606,0
1278,0
1565,76
67,0
122007,3250
866,95
13023,914
1039,0
906,0
609,0
754,0
271,0
353,0
8601,225
248617,14826
3163,42
982,0
11025,383
2638,0
97,2
17789,1497
720636,21761
1499628,89475
8282,719
2142,14
984,38
291,0
344,43
3752,40
380,0
216829,10819
52,0
1393,7
144,47
914,0
119567,1171
670,66
3533,20
2248,58
17886,1510
68717,3661
2,0
335,0
9047,939
1883,16
352546,20567
1716,62
708,0
6181,242
214538,13049
383,41
2419,55
14205,334
1206,133
694508,41077
226,0
2740,3
6103,526
492,0
24653,618
3652,213
41679,1769
278,0
294068,23261
767,0
3854,35
2292,112
49,0
306,0
1949,0
3912,13
15154,244
43051,2376
3463,31
20230,1014
19158,533
18130,982
1298,0
1733,270
64,0
9115,531
142,0
677,0
4181,142
5947,133
2012664,113426
4984,344
3049,4
50941,1648
1738,117
1953,2
269,0
131,0
14297,688
14,0
2562,59
116413,4589
5660,139
427358,30924
1318,45
34939,2365
635,14
9829039,946897
1997,0
1653,54
8835,116
8559,398
22207,900
3426,846
30494,1269
427,21
1514,144
104,0
6275,673
44103,76
280,0
72,0
66,0
326633,27647
14125,210
406,0
4,0
131569,6846
6596,62
21,0
60,0
82,0
720,0
1086,0
4664,103
16,0
8723,115
2226,18
720,0
411446,39522
845,60
368974,24253
1688,74
1202,59
5656,74
1008,0
712,4
311,0
6610,90
2439,187
6382,49
9019,222
1562,66
1441,0
87,0
48078,2094
1001,0
4666,258
2346,110
63,0
18939,380
30699,1179
62900,3139
3171,90
6399,317
767046,21580
5080,73
85,0
393355,24643
4978,436
117,0
31244,622
262,24
3994,14
3528,62
168,0
8176,677
23883,1022
1347,0
42561,1219
319,53
5353,185
681,0
1544,52
104,0
395,0
1071,0
6207,600
295,20
5993,446
196659,11499
60,0
437,77
418,0
8258,599
1316,0
816,0
2209,11
1017,0
15408,425
3053,181
679152,31419
278,0
11686,439
1772,123
908,80
2432,37
2922,138
9297,1034
902,0
177,0
2290,105
115,0
1604,27
559,0
2949,24
4110,18
6028,226
18,0
802,57
11659,195
7,0
1371,33
133,0
2673,87
2353,20
577,0
840156,39563
798,50
433,0
80515,973
8926,312
45,0
92624,3087
38248,1391
78369,5878
27184,991
2858,0
47604,2511
285,0
43,0
3574,131
8740,91
1638,111
930,41
31,0
9720,471
10271,854
15492,39
130,0
233,0
292521,16950
449,0
1179,65
6472,766
144670,4787
90,0
1887,195
3493,11
381,0
14026,2176
16464,541
9214,381
684,0
3420,202
4995,135
57506,727
64,0
136,0
3107,246
928,0
116,0
64,0
1406,54
1720,79
7,0
462,0
775,8
62,0
3188,92
2554,0
435434,15550
131593,2274
99,0
358188,11533
304,0
9014,569
40745,1343
48,0
81651,3846
196,42
4281,351
1328,47
673,31
35592,814
175,0
110,0
574,0
96,0
53683,2461
18573,201
42041,1685
12813,273
150,0
20518,689
347,0
381,0
649,0
8,0
94,0
2573,321
167,0
124,0
94,0
67,0
2011,0
17788,1148
296,0
218,0
126,0
2375,0
7208,66
19,0
66596,2421
33488,967
29225,791
2627,20
39,0
1277,4
59,0
544,2
5996,282
29,0
245803,9947
862,0
3116,84
4386,147
846,0
12292,16
16821,373
16553,519
22626,704
487,0
630,0
11253,370
63513,2183
653821,19721
4870,205
3176,190
125,0
293,0
1124,0
894,0
60,0
2381,50
3186,233
22365,1140
67,0
2193,86
2154,58
5372,150
41589,1013
2706,46
1347,15
211,0
63176,2585
1267,4
37811,3502
706,5
17095,815
1128,30
27107,192
161905,2044
3765,3
8298,39
1088,64
3280,135
142817,5937
244934,9130
97688,1616
569,0
33100,1520
54104,3208
11781,58
77042,2992
1412,0
965,0
13,0
246,0
22780,865
2133,313
11131,882
1965,232
267,0
49820,442
133775,6486
12102,128
6394,64
9390,433
23181,2517
20812,159
103,0
12143,57
3242,177
809,24
202,0
27170,1271
865,56
2080,0
179,0
710,0
22205,678
552,0
2131,0
50760,1020
2187,0
1021,58
148,0
397,0
911,0
22660,691
24978,632
2918,101
362,0
709,156
5191,111
26911,63
25,0
8,0
287,0
960,46
1820,222
1072,0
8512,300
3350,135
210717,5499
10237,344
4940,37
1097,0
1154,0
9223,681
279,0
43,0
739,0
4556,121
4191,0
340,0
42,0
20231,671
173,0
170,0
14823,531
720,0
164392,6510
1720,65
2167,117
18084,508
196538,14937
17637,185
5170,60
103,0
10783,602
18088,582
1260,30
201,0
22947,1361
11987,171
27087,977
64555,4187
56799,3650
1734,0
12978,10
1597,72
1720,46
14871,1086
42741,3750
12803,249
42594,1318
10616,2099
9039,88
190634,12273
71298,3888
15488,1174
13306,954
11983,1093
12110,425
75169,6045
18247,131
23072,813
296,0
1721,181
770,0
26613,2990
1116,91
777,0
961,0
458,56
48213,246
3209,0
5726,121
4501,26
13830,755
1313,49
1851,4
53,0
1871,48
1240,0
1843,0
14,0
2668,34
9316,410
540,0
170,0
2593460,102702
10073,763
56364,1077
50,0
54,0
72959,4219
38028,2064
52136,3076
3317,141
3401,74
4088,479
186851,9575
1886,117
7036,694
220,0
1051,0
342,0
557,0
913,0
3951,115
29,0
3698,98
768,45
15470,1778
15037,645
627,84
33231,1281
1203,0
162138,4681
2636,13
565,0
17148,341
2913,184
92,36
1330,19
1558,122
216,0
25984,1824
10048,1102
634,0
5932,39
19412,136
3,0
11498,1109
7386,60
7953,393
340,0
625,20
5289,573
3523,510
10502,125
13066,113
614,0
5140,30
4581,5
27935,2259
2899,52
8048,100
4048,0
1620,313
1875,169
1077,25
954,34
205,0
475,0
148,0
106005,2882
10,0
378,0
241,0
377,0
157,0
533,0
71,0
9128,310
43130,125
20028,1661
259,0
51926,2422
35818,1846
2162,107
146,0
4814,434
16492,245
8538,44
6489,836
461,1
12708,664
565,0
189,0
456,0
393,0
70157,1179
3570,64
124,0
730647,39684
608963,25695
1093,0
11580,1070
59170,465
401,0
764,0
34,0
2684,32
211,0
6320,301
204,0
999,64
6963,504
8740,84
407,0
36660,1147
3385,141
411,0
1594,95
7158,215
4760,335
276,0
458,11
24878,729
27379,1249
2498,69
691,0
987,0
157,0
6781,742
160,0
54214,1005
1312,50
2444,574
27866,517
4189,46
1895,0
73,0
412,0
2011,0
10646,446
11085,457
10610,76
1663,50
7606,553
112994,6407
5824,865
9859,52
835,36
676,0
667,22
59,0
189805,8620
26,0
55025,1873
62759,3565
624,0
1289,0
22541,1016
693,65
216,0
1029636,99347
1027,0
1023,0
21338,831
9889,136
10306,394
98900,5373
726,0
6512,1161
719,0
7482,261
1682493,62291
22500,1528
5,0
277,0
541,90
2232,0
19397,1768
38,0
765,0
11874,227
155,0
4752,350
7674,287
1803,78
1001,0
4219,91
26577,650
141,0
8171,622
11668,106
567,139
6007,534
175618,9407
672,58
2603,47
5890,257
1712,126
46432,1150
26952,788
3689,23
16195,499
2558,128
144,0
3107,111
53027,1505
869,0
3558,688
4740,15
167,0
2432,170
13,0
12961,1502
67405,510
1919,53
71,0
129,0
327,0
93,0
360219,19888
9213,677
7920,52
1370,104
47492,3038
4901,314
710,41
3146,52
94863,3113
2214,57
2754,383
245,0
1836,0
1067,141
8917,169
8105,98
1447,28
197,0
4718,83
83,0
9137,885
69178,1449
235,47
1229,57
60,0
14145,182
351,0
229,0
26,0
