,County,State,Mean Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count
783,Pocahontas,WV,39702.0,8531.0,48.7,24109.0,1372.0,169.0
784,Tyler,WV,41108.0,8909.0,46.7,24422.0,1398.0,220.0
785,Randolph,WV,41094.0,29065.0,43.5,24162.0,5139.0,797.0
786,Taylor,WV,47205.0,16951.0,43.2,24258.0,2822.0,606.0
787,Wirt,WV,40189.0,5797.0,44.7,21314.0,1083.0,129.0
788,Clay,WV,35875.0,8785.0,43.9,16780.0,2354.0,230.0
789,Gilmer,WV,35810.0,8205.0,39.7,17313.0,1246.0,282.0
790,Monongalia,WV,49926.0,105252.0,31.2,30641.0,20988.0,3550.0
791,Monroe,WV,36493.0,13467.0,46.7,23412.0,2186.0,437.0
792,Wetzel,WV,42125.0,15614.0,45.9,22789.0,3560.0,413.0
793,Cabell,WV,38321.0,95318.0,38.5,24506.0,20552.0,2197.0
794,Kanawha,WV,45426.0,185710.0,43.3,28405.0,31218.0,5253.0
795,Pendleton,WV,41210.0,7056.0,50.5,24739.0,1137.0,142.0
796,Preston,WV,48317.0,33837.0,42.4,23337.0,4853.0,1212.0
797,Kitsap,WA,71610.0,262475.0,39.0,35826.0,24772.0,6227.0
798,King,WA,89418.0,2163257.0,37.1,49298.0,203702.0,55432.0
799,Pend Oreille,WA,48583.0,13219.0,50.6,26739.0,2001.0,299.0
800,San Juan,WA,60711.0,16473.0,56.1,42307.0,1851.0,239.0
801,Whitman,WA,42163.0,48593.0,24.6,22585.0,11156.0,2231.0
802,Yakima,WA,49871.0,249325.0,32.8,22459.0,44600.0,7412.0
803,Cowlitz,WA,51752.0,105112.0,41.5,27264.0,16610.0,3701.0
804,Ferry,WA,41924.0,7576.0,49.6,23640.0,1406.0,221.0
805,Lewis,WA,50216.0,76947.0,43.1,25813.0,10901.0,2722.0
806,Grays Harbor,WA,47770.0,71967.0,43.7,25374.0,10980.0,2500.0
807,Island,WA,64809.0,81636.0,44.2,35364.0,6810.0,2099.0
808,Wahkiakum,WA,54085.0,4189.0,54.3,29452.0,323.0,77.0
809,Franklin,WA,62002.0,90660.0,30.0,23373.0,13867.0,2345.0
810,Grant,WA,54982.0,94860.0,32.7,23633.0,13543.0,2442.0
811,Whatcom,WA,59285.0,216812.0,37.0,30586.0,31741.0,7063.0
812,Okanogan,WA,45808.0,41638.0,42.9,23961.0,8449.0,1150.0
813,Kittitas,WA,55193.0,44825.0,33.1,27948.0,8026.0,1364.0
814,Benton,WA,65650.0,194168.0,35.7,31580.0,24592.0,4767.0
815,Columbia,WA,51111.0,4001.0,49.4,31206.0,456.0,83.0
816,Asotin,WA,50423.0,22337.0,45.0,27896.0,2858.0,711.0
817,Garfield,WA,52525.0,2224.0,45.5,25539.0,255.0,74.0
818,Mason,WA,55726.0,62627.0,45.6,27253.0,9201.0,1947.0
819,Stevens,WA,49200.0,44214.0,46.6,25197.0,6829.0,1178.0
820,Spokane,WA,54852.0,497875.0,37.5,29982.0,69738.0,13548.0
821,Chelan,WA,56135.0,75757.0,40.2,29204.0,8695.0,1926.0
822,Rock,WI,55832.0,161769.0,39.5,28103.0,21507.0,4727.0
823,Waushara,WI,51195.0,24116.0,49.0,27347.0,2580.0,434.0
824,Adams,WI,43280.0,20073.0,53.3,25591.0,2794.0,604.0
825,Bayfield,WI,52910.0,14992.0,52.0,29886.0,1712.0,347.0
826,Lafayette,WI,59629.0,16735.0,41.4,28198.0,1782.0,191.0
827,Monroe,WI,58178.0,45502.0,39.5,27729.0,5716.0,797.0
828,Pierce,WI,72111.0,41603.0,36.8,32525.0,3791.0,619.0
829,Wood,WI,53473.0,73274.0,43.8,30006.0,7488.0,1445.0
830,Ashland,WI,43861.0,15712.0,41.8,23505.0,2161.0,460.0
831,Calumet,WI,72530.0,49807.0,40.1,34015.0,2826.0,622.0
832,Florence,WI,49128.0,4337.0,52.4,30674.0,420.0,124.0
833,Clark,WI,51872.0,34491.0,37.6,24114.0,4282.0,496.0
834,Jefferson,WI,63676.0,84652.0,40.7,30329.0,7282.0,1749.0
835,Kenosha,WI,60929.0,168330.0,38.2,30740.0,22308.0,6128.0
836,Iron,WI,40801.0,5715.0,54.5,28550.0,822.0,199.0
837,St. Croix,WI,81124.0,87917.0,38.6,37419.0,3874.0,1203.0
838,Oconto,WI,57105.0,37556.0,46.5,29392.0,3481.0,698.0
839,Lincoln,WI,56086.0,27848.0,47.2,29642.0,2474.0,569.0
840,Waupaca,WI,57680.0,51444.0,45.4,30627.0,5303.0,834.0
841,Barron,WI,50903.0,45252.0,44.1,28326.0,5311.0,741.0
842,Sawyer,WI,44555.0,16370.0,50.2,30094.0,2760.0,441.0
843,Green Lake,WI,53260.0,18757.0,45.4,27915.0,2049.0,265.0
844,Marquette,WI,49586.0,15207.0,49.8,26068.0,1702.0,377.0
845,Marinette,WI,47497.0,40537.0,48.3,26959.0,5236.0,944.0
846,Racine,WI,59749.0,195398.0,40.1,30386.0,22913.0,4730.0
847,Winnebago,WI,57124.0,169926.0,38.2,33000.0,19184.0,3015.0
848,Forest,WI,44313.0,9018.0,46.7,24808.0,1426.0,268.0
849,Grant,WI,52958.0,51828.0,35.7,24974.0,7135.0,831.0
850,Rusk,WI,44302.0,14183.0,49.1,24731.0,1962.0,254.0
851,Sheboygan,WI,58943.0,115205.0,41.3,30151.0,8540.0,2255.0
852,Langlade,WI,46557.0,19164.0,48.2,26212.0,2643.0,667.0
853,Outagamie,WI,63536.0,184754.0,37.9,32098.0,15545.0,2953.0
854,Vernon,WI,50905.0,30516.0,41.9,26726.0,4995.0,381.0
855,Columbia,WI,65348.0,56954.0,42.4,33012.0,4522.0,1064.0
856,Kewaunee,WI,63118.0,20360.0,44.2,30098.0,1703.0,311.0
857,Brown,WI,59963.0,259786.0,37.2,31213.0,26047.0,4945.0
858,Marathon,WI,59543.0,135264.0,40.6,31879.0,12468.0,2507.0
859,Oneida,WI,54198.0,35345.0,50.9,32784.0,2981.0,495.0
860,Trempealeau,WI,55865.0,29438.0,40.5,27733.0,2480.0,464.0
861,Washburn,WI,48422.0,15689.0,50.7,29336.0,2050.0,319.0
862,Dodge,WI,58870.0,87776.0,42.5,28543.0,7217.0,1982.0
863,Walworth,WI,61106.0,103013.0,39.7,30593.0,11689.0,2368.0
864,Crawford,WI,48853.0,16288.0,46.0,26038.0,1998.0,270.0
865,Manitowoc,WI,53489.0,79407.0,44.7,28803.0,8303.0,1252.0
866,Sauk,WI,56732.0,63596.0,41.2,29608.0,6520.0,1143.0
867,Burnett,WI,49982.0,15258.0,52.5,28424.0,2050.0,345.0
868,Chippewa,WI,57288.0,63635.0,40.9,28277.0,6617.0,1065.0
869,Door,WI,58287.0,27439.0,52.4,36155.0,2236.0,553.0
870,Douglas,WI,52480.0,43402.0,41.9,28888.0,5285.0,970.0
871,Jackson,WI,52984.0,20506.0,41.6,26037.0,2274.0,501.0
872,Iowa,WI,62785.0,23620.0,42.5,33674.0,1806.0,416.0
873,Ozaukee,WI,82807.0,88284.0,43.9,47980.0,4679.0,1443.0
874,Richland,WI,51335.0,17539.0,45.1,26379.0,2377.0,229.0
875,Campbell,WY,79916.0,47708.0,33.5,33286.0,5203.0,1183.0
876,Johnson,WY,55991.0,8515.0,45.5,34885.0,960.0,181.0
877,Natrona,WY,60550.0,80610.0,36.6,33082.0,7568.0,1998.0
878,Converse,WY,63923.0,13997.0,40.1,32069.0,1145.0,340.0
879,Niobrara,WY,39359.0,2448.0,41.0,22688.0,345.0,15.0
880,Teton,WY,83831.0,23059.0,39.3,53703.0,1619.0,210.0
881,Sweetwater,WY,73008.0,44117.0,34.6,32624.0,5237.0,1213.0
882,Platte,WY,47096.0,8673.0,47.1,31553.0,998.0,118.0
883,Park,WY,62666.0,29121.0,44.4,35059.0,2180.0,508.0
884,Sheridan,WY,58521.0,30012.0,42.1,34059.0,1797.0,416.0
885,Big Horn,WY,53435.0,11901.0,41.3,23978.0,1446.0,280.0
886,Crook,WY,64055.0,7410.0,42.6,32256.0,491.0,124.0
887,Albany,WY,46865.0,38102.0,27.3,26665.0,8114.0,960.0
888,Carbon,WY,60206.0,15477.0,38.0,29890.0,1929.0,213.0
889,Goshen,WY,49774.0,13438.0,43.4,27739.0,1485.0,463.0
890,Uinta,WY,58235.0,20609.0,35.5,27009.0,2552.0,614.0
891,Washakie,WY,53426.0,8129.0,43.5,27556.0,984.0,253.0
892,Hot Springs,WY,51875.0,4680.0,49.5,32359.0,657.0,58.0
893,Fremont,WY,54242.0,40076.0,38.4,27598.0,5352.0,1174.0
894,Sublette,WY,78680.0,9951.0,39.4,33231.0,828.0,195.0
895,Weston,WY,52867.0,7100.0,42.9,29152.0,1171.0,117.0
952,Monroe,AL,30141.0,21512.0,42.3,18890.0,6561.0,1359.0
953,Lawrence,AL,44515.0,33171.0,42.2,23557.0,5508.0,766.0
954,Lee,AL,48056.0,159287.0,31.4,26960.0,32815.0,4411.0
955,Pickens,AL,37458.0,20298.0,42.4,22417.0,4430.0,842.0
956,Sumter,AL,23132.0,12985.0,35.8,15882.0,3792.0,580.0
957,Choctaw,AL,34884.0,13075.0,46.1,22182.0,2864.0,504.0
958,Marengo,AL,32809.0,19538.0,42.7,23056.0,4201.0,706.0
959,Russell,AL,40978.0,58213.0,35.9,22055.0,11491.0,2000.0
960,Covington,AL,40601.0,37351.0,43.9,23071.0,6702.0,1428.0
961,Crenshaw,AL,39812.0,13865.0,41.5,23353.0,2148.0,347.0
962,Lauderdale,AL,46265.0,92585.0,41.4,27189.0,13703.0,2267.0
963,Lowndes,AL,30833.0,10236.0,41.6,19491.0,2820.0,450.0
964,Limestone,AL,56460.0,93052.0,39.5,27699.0,12384.0,2957.0
965,St. Clair,AL,54887.0,87306.0,40.3,24861.0,11268.0,2188.0
966,Winston,AL,38504.0,23875.0,44.9,21799.0,3817.0,740.0
967,Cullman,AL,42558.0,82313.0,40.6,22980.0,12831.0,1903.0
968,Elmore,AL,59347.0,81212.0,38.6,27475.0,9462.0,2219.0
969,Jackson,AL,39816.0,52094.0,43.3,21608.0,10418.0,1277.0
970,Talladega,AL,41012.0,80565.0,41.1,22498.0,15401.0,3004.0
971,Washington,AL,40794.0,16643.0,43.6,22776.0,3446.0,517.0
972,Coffee,AL,53155.0,51288.0,39.3,27577.0,7604.0,1371.0
973,Morgan,AL,49751.0,119122.0,40.4,25907.0,17920.0,2815.0
974,Chilton,AL,45182.0,43930.0,38.6,24611.0,8034.0,1336.0
975,Colbert,AL,47558.0,54495.0,42.7,24918.0,8785.0,1397.0
976,Dale,AL,45960.0,49255.0,37.5,23837.0,8798.0,1738.0
977,Etowah,AL,44023.0,102939.0,41.3,24065.0,17524.0,2945.0
978,DeKalb,AL,39233.0,71200.0,39.3,21004.0,15500.0,1351.0
979,Lamar,AL,36756.0,13933.0,44.5,21666.0,2916.0,465.0
980,Randolph,AL,41449.0,22574.0,42.7,23247.0,3912.0,451.0
981,Mobile,AL,46166.0,414659.0,37.6,25215.0,78208.0,11514.0
982,Walker,AL,41748.0,64493.0,42.4,22772.0,12525.0,2375.0
983,Cleburne,AL,40188.0,14938.0,42.5,21989.0,2719.0,458.0
984,Greene,AL,21804.0,8426.0,42.5,14209.0,3225.0,415.0
985,Barbour,AL,34186.0,25782.0,39.9,18461.0,6597.0,918.0
986,Bullock,AL,32152.0,10352.0,39.6,20346.0,3110.0,490.0
987,Calhoun,AL,45197.0,115098.0,39.7,24706.0,20819.0,4628.0
988,Clarke,AL,36127.0,24387.0,42.3,21111.0,6088.0,1283.0
989,Montgomery,AL,47990.0,226941.0,36.2,28008.0,45479.0,8243.0
990,Marshall,AL,42490.0,95145.0,38.7,23833.0,20354.0,2091.0
991,Henry,AL,48610.0,17124.0,44.1,24069.0,2270.0,494.0
992,Madison,AL,63417.0,357560.0,38.5,35526.0,45960.0,10632.0
993,Tallapoosa,AL,43361.0,40636.0,43.7,23655.0,8131.0,1755.0
994,Aleutians West Census Area,AK,85517.0,5750.0,37.6,37070.0,472.0,79.0
995,Wilcox,AL,27237.0,10809.0,40.8,16584.0,3254.0,530.0
996,Denali Borough,AK,84196.0,2232.0,43.1,34956.0,369.0,45.0
997,Kenai Peninsula Borough,AK,66684.0,58220.0,40.8,33820.0,6827.0,2176.0
998,Bristol Bay Borough,AK,84688.0,890.0,41.8,45259.0,50.0,43.0
999,Kodiak Island Borough,AK,78281.0,13649.0,33.5,32516.0,1243.0,381.0
1000,Northwest Arctic Borough,AK,62949.0,7734.0,27.2,23230.0,1921.0,605.0
1001,Bethel Census Area,AK,54212.0,18040.0,27.1,19760.0,4871.0,1381.0
1002,North Slope Borough,AK,75431.0,9797.0,34.8,49903.0,904.0,539.0
1003,Sitka City and Borough,AK,71534.0,8738.0,38.8,38423.0,639.0,216.0
1004,Fairbanks North Star Borough,AK,77095.0,99653.0,31.1,36374.0,7749.0,3526.0
1005,Ketchikan Gateway Borough,AK,70356.0,13804.0,39.6,34900.0,1433.0,499.0
1006,Matanuska-Susitna Borough,AK,75905.0,103464.0,35.0,30943.0,10476.0,4536.0
1007,Nome Census Area,AK,58987.0,9925.0,28.1,22293.0,2221.0,733.0
1008,Dillingham Census Area,AK,58750.0,4975.0,30.3,25334.0,849.0,274.0
1009,Haines Borough,AK,64342.0,2518.0,44.9,33521.0,224.0,51.0
1010,Yakutat City and Borough,AK,65833.0,689.0,36.4,31878.0,46.0,23.0
1011,Juneau City and Borough,AK,88213.0,32330.0,38.1,43276.0,2514.0,1072.0
1012,Lake and Peninsula Borough,AK,46406.0,1375.0,33.5,24571.0,217.0,111.0
1013,Southeast Fairbanks Census Area,AK,71541.0,6876.0,36.3,32409.0,730.0,330.0
1014,Yukon-Koyukuk Census Area,AK,40000.0,5415.0,35.3,22386.0,1350.0,491.0
1015,Anchorage Municipality,AK,83280.0,296112.0,33.2,39839.0,26498.0,8982.0
1016,Aleutians East Borough,AK,69706.0,3425.0,42.7,32510.0,525.0,87.0
1017,Skagway Municipality,AK,72237.0,1061.0,38.5,39842.0,56.0,51.0
1018,Prince of Wales-Hyder Census Area,AK,54191.0,6474.0,41.0,27236.0,972.0,385.0
1019,Petersburg Borough,AK,66907.0,3255.0,41.0,33227.0,267.0,70.0
1020,Kusilvak Census Area,AK,35539.0,8198.0,23.8,12578.0,3296.0,849.0
1021,Maricopa,AZ,61606.0,4253913.0,36.1,31697.0,618496.0,117059.0
1022,Graham,AZ,51352.0,37879.0,33.3,18113.0,7122.0,1329.0
1023,Santa Cruz,AZ,40467.0,46584.0,36.6,20324.0,11080.0,1565.0
1024,La Paz,AZ,33333.0,20701.0,56.0,21845.0,4507.0,562.0
1025,Mohave,AZ,43266.0,206064.0,50.9,24829.0,35296.0,6954.0
1026,Coconino,AZ,57616.0,140217.0,30.6,26387.0,24168.0,5390.0
1027,Yuma,AZ,44058.0,207829.0,34.3,21178.0,40591.0,8303.0
1028,Greenlee,AZ,60962.0,9504.0,34.2,25349.0,1115.0,282.0
1029,Pinal,AZ,55550.0,419721.0,38.9,23653.0,55859.0,12785.0
1030,St. Francis,AR,35356.0,26294.0,38.9,17491.0,6052.0,752.0
1031,White,AR,43822.0,78804.0,36.6,23747.0,12701.0,1965.0
1032,Nevada,AR,37635.0,8440.0,44.8,18618.0,2279.0,186.0
1033,Cross,AR,43838.0,16998.0,41.2,24486.0,2793.0,458.0
1034,Drew,AR,43014.0,18502.0,37.0,23005.0,3735.0,479.0
1035,Columbia,AR,36148.0,23892.0,36.0,21372.0,5563.0,1075.0
1036,Saline,AR,62152.0,118009.0,39.2,29358.0,9928.0,2290.0
1037,Van Buren,AR,36897.0,16684.0,47.9,21622.0,3103.0,439.0
1038,Izard,AR,40218.0,13559.0,48.0,20501.0,2156.0,476.0
1039,Lincoln,AR,45166.0,13695.0,38.6,13636.0,1650.0,122.0
1040,Logan,AR,39748.0,21757.0,41.5,22221.0,4514.0,837.0
1041,Crittenden,AR,39002.0,49013.0,35.1,21882.0,10709.0,2123.0
1042,Franklin,AR,39463.0,17780.0,41.3,20262.0,3823.0,213.0
1043,Pike,AR,37406.0,10808.0,42.8,21919.0,1758.0,216.0
1044,Jefferson,AR,38289.0,70424.0,38.8,20925.0,14896.0,2888.0
1045,Montgomery,AR,37855.0,8993.0,50.0,22347.0,1666.0,197.0
1046,Scott,AR,35509.0,10442.0,41.0,17375.0,2282.0,433.0
1047,Sebastian,AR,43240.0,127461.0,37.5,25084.0,25420.0,2905.0
1048,Benton,AR,64141.0,258980.0,35.3,32624.0,25356.0,3498.0
1049,Chicot,AR,33051.0,10826.0,42.7,21843.0,2962.0,385.0
1050,Johnson,AR,37170.0,26291.0,38.0,19681.0,5728.0,441.0
1051,Lee,AR,28367.0,9398.0,41.8,15771.0,2009.0,488.0
1052,Pope,AR,41914.0,63644.0,35.0,22110.0,11117.0,1797.0
1053,Desha,AR,30234.0,11887.0,39.1,18475.0,3401.0,533.0
1054,Fulton,AR,36184.0,12139.0,48.1,19413.0,2844.0,284.0
1055,Garland,AR,43146.0,98296.0,44.9,26791.0,17961.0,3076.0
1056,Prairie,AR,41846.0,8244.0,46.2,24075.0,1266.0,235.0
1057,Van Wert,OH,52754.0,28281.0,40.9,26698.0,3100.0,631.0
1058,Washington,OH,48572.0,60671.0,44.1,27860.0,8921.0,1120.0
1059,Williams,OH,49491.0,36936.0,41.2,25428.0,4886.0,809.0
1060,Auglaize,OH,61758.0,45784.0,41.3,29908.0,3906.0,838.0
1061,Columbiana,OH,46306.0,104003.0,44.0,25853.0,14639.0,3294.0
1062,Darke,OH,52691.0,51734.0,41.8,26262.0,5124.0,1213.0
1063,Ottawa,OH,57918.0,40709.0,49.0,33081.0,4181.0,950.0
1064,Fulton,OH,60231.0,42305.0,40.8,28411.0,3919.0,1044.0
1065,Hardin,OH,48773.0,31542.0,35.5,22329.0,4880.0,893.0
1066,Jackson,OH,45340.0,32524.0,40.1,22117.0,6265.0,1585.0
1067,Lucas,OH,46924.0,432379.0,37.9,28361.0,80686.0,16242.0
1068,Morrow,OH,56010.0,34976.0,41.7,27212.0,3524.0,661.0
1069,Noble,OH,47456.0,14443.0,49.7,24616.0,1835.0,210.0
1070,Preble,OH,55374.0,41207.0,42.6,27031.0,4683.0,1026.0
1071,Seneca,OH,49936.0,55475.0,39.4,25555.0,7680.0,1353.0
1072,Stark,OH,52190.0,373475.0,41.9,28434.0,50408.0,11432.0
1073,Allen,OH,50552.0,103642.0,39.0,25662.0,14795.0,3070.0
1074,Coshocton,OH,44491.0,36574.0,41.4,22471.0,5899.0,1037.0
1075,Crawford,OH,42892.0,42021.0,43.0,24513.0,6182.0,1053.0
1076,Delaware,OH,104322.0,197008.0,38.6,47183.0,8843.0,2824.0
1077,Guernsey,OH,43975.0,39274.0,42.5,23599.0,7815.0,1254.0
1078,Hocking,OH,50000.0,28495.0,42.9,24138.0,3785.0,786.0
1079,Mercer,OH,59417.0,40806.0,39.9,28513.0,2788.0,567.0
1080,Ross,OH,48403.0,77051.0,40.9,23756.0,12694.0,2490.0
1081,Cuyahoga,OH,48435.0,1253783.0,40.3,31804.0,221899.0,53245.0
1082,Lorain,OH,56965.0,306713.0,41.8,29777.0,40799.0,9507.0
1083,Miami,OH,57544.0,104800.0,41.6,29703.0,9764.0,2442.0
1084,Montgomery,OH,49314.0,532034.0,39.3,28807.0,89854.0,18780.0
1085,Trumbull,OH,45975.0,201794.0,44.2,26116.0,34604.0,4794.0
1086,Wood,OH,59789.0,129936.0,34.8,31324.0,16365.0,3435.0
1087,Ashtabula,OH,44823.0,98136.0,42.4,22817.0,19216.0,3111.0
1088,Adair,OK,32986.0,22113.0,37.6,16851.0,6400.0,456.0
1089,Stephens,OK,46166.0,43983.0,40.5,25374.0,6344.0,1281.0
1090,Cimarron,OK,46071.0,2189.0,43.0,27929.0,356.0,19.0
1091,Carter,OK,49216.0,48406.0,38.2,25110.0,8055.0,1222.0
1092,Grant,OK,56287.0,4418.0,43.3,29060.0,404.0,64.0
1093,Greer,OK,38322.0,5943.0,41.2,18292.0,1071.0,184.0
1094,McClain,OK,64492.0,38634.0,38.4,29797.0,3424.0,625.0
1095,McIntosh,OK,37086.0,19819.0,47.3,22922.0,4168.0,522.0
1096,Murray,OK,51490.0,13875.0,43.0,26837.0,1996.0,239.0
1097,Noble,OK,53253.0,11411.0,41.6,27828.0,1419.0,219.0
1098,Ottawa,OK,39070.0,31566.0,38.1,20209.0,6511.0,900.0
1099,Sequoyah,OK,38328.0,41359.0,41.0,20020.0,9428.0,1373.0
1100,Wagoner,OK,61566.0,77850.0,38.7,28286.0,8231.0,2240.0
1101,Woods,OK,56899.0,9127.0,33.9,27232.0,1126.0,207.0
1102,Caddo,OK,44588.0,29342.0,37.3,22062.0,5617.0,921.0
1103,Muskogee,OK,42689.0,69084.0,37.9,22775.0,13727.0,1803.0
1104,Okfuskee,OK,38527.0,12115.0,40.0,17281.0,2701.0,375.0
1105,Bryan,OK,43245.0,45759.0,37.5,23453.0,7401.0,1147.0
1106,Harper,OK,50114.0,3847.0,38.0,24714.0,401.0,36.0
1107,Kay,OK,45426.0,44880.0,38.6,24853.0,7695.0,1418.0
1108,Craig,OK,41701.0,14493.0,42.3,20704.0,2523.0,350.0
1109,Tulsa,OK,53902.0,642781.0,35.5,30894.0,95744.0,18079.0
1110,Canadian,OK,71157.0,136710.0,35.9,30545.0,11339.0,3177.0
1111,Harmon,OK,41607.0,2721.0,41.0,22588.0,410.0,55.0
1112,Pushmataha,OK,37457.0,11119.0,44.6,23346.0,2023.0,338.0
1113,Latimer,OK,42363.0,10495.0,41.3,23842.0,1906.0,342.0
1114,Osage,OK,47789.0,47311.0,42.1,24363.0,7539.0,1328.0
1115,Texas,OK,50450.0,21121.0,32.1,22120.0,3640.0,327.0
1116,Garfield,OK,51332.0,62190.0,36.0,26454.0,8909.0,1513.0
1117,Johnston,OK,40077.0,11041.0,39.8,20930.0,2155.0,313.0
1118,Pittsburg,OK,45346.0,44382.0,40.6,24750.0,7357.0,1233.0
1119,Roger Mills,OK,47667.0,3708.0,40.5,26431.0,716.0,104.0
1120,Woodward,OK,58706.0,20967.0,36.3,28248.0,2303.0,510.0
1121,Cherokee,OK,40936.0,48599.0,35.1,20575.0,9792.0,1537.0
1122,Delaware,OK,39742.0,42112.0,46.7,22976.0,7903.0,1242.0
1123,Ellis,OK,52705.0,4072.0,44.1,27120.0,709.0,105.0
1124,Grady,OK,58177.0,54733.0,38.9,28577.0,6183.0,950.0
1125,Payne,OK,40944.0,81512.0,27.1,23589.0,19412.0,1889.0
1126,Pottawatomie,OK,47683.0,72000.0,37.5,23155.0,11259.0,1976.0
1127,Creek,OK,49578.0,71160.0,40.2,25150.0,10869.0,1146.0
1128,Tillman,OK,40462.0,7515.0,41.2,21673.0,1547.0,154.0
1129,Washita,OK,52510.0,11432.0,38.9,26744.0,1529.0,232.0
1130,Cotton,OK,51623.0,5929.0,42.9,22596.0,999.0,195.0
1131,Kiowa,OK,38209.0,9001.0,43.1,20888.0,1936.0,196.0
1132,Le Flore,OK,39769.0,49909.0,39.4,20656.0,10534.0,1218.0
1133,McCurtain,OK,35829.0,32966.0,38.8,19692.0,7398.0,816.0
1134,Major,OK,54118.0,7718.0,41.1,28801.0,910.0,102.0
1135,Mayes,OK,48853.0,40980.0,40.3,23861.0,7028.0,961.0
1136,Oklahoma,OK,52855.0,782051.0,34.5,30398.0,128195.0,19217.0
1137,Custer,OK,48884.0,29209.0,31.0,25569.0,4864.0,477.0
1138,Beaver,OK,51996.0,5415.0,40.3,24610.0,668.0,112.0
1139,Love,OK,52007.0,9933.0,40.1,21704.0,1323.0,186.0
1140,Beckham,OK,48725.0,22621.0,35.7,24049.0,2932.0,397.0
1141,Choctaw,OK,32129.0,14886.0,42.0,21329.0,4245.0,499.0
1142,Jackson,OK,45757.0,25384.0,34.2,23226.0,4263.0,570.0
1143,Lincoln,OK,49362.0,34854.0,41.2,24454.0,4876.0,810.0
1144,Marion,OR,56097.0,335553.0,36.4,26143.0,49460.0,9718.0
1145,Jackson,OR,50851.0,214267.0,42.7,28728.0,34519.0,6530.0
1146,Grant,OR,45357.0,7183.0,52.6,26029.0,1030.0,243.0
1147,Jefferson,OR,50339.0,23143.0,40.5,22492.0,4401.0,950.0
1148,Clackamas,OR,76597.0,405788.0,41.4,39619.0,34195.0,9950.0
1149,Linn,OR,52097.0,122870.0,39.7,25781.0,17528.0,4471.0
1150,Tillamook,OR,47500.0,26076.0,48.0,27122.0,3800.0,519.0
1151,Baker,OR,43921.0,15984.0,48.2,26152.0,2428.0,540.0
1152,Josephine,OR,43046.0,85481.0,47.5,24763.0,15670.0,2805.0
1153,Umatilla,OR,51887.0,76898.0,36.3,23464.0,13079.0,2747.0
1154,Lincoln,OR,46061.0,47881.0,51.3,27072.0,7874.0,1221.0
1155,Columbia,OR,59714.0,50851.0,43.3,29317.0,6103.0,1640.0
1156,Sherman,OR,48056.0,1605.0,51.5,33821.0,209.0,29.0
1157,Wasco,OR,50973.0,25866.0,40.9,26249.0,3392.0,532.0
1158,Lane,OR,49958.0,368882.0,39.4,28070.0,67022.0,13000.0
1159,Malheur,OR,42478.0,30431.0,35.9,18700.0,6135.0,903.0
1160,Washington,OR,78010.0,581821.0,36.5,37657.0,55505.0,15878.0
1161,Morrow,OR,55440.0,11215.0,38.4,22599.0,1733.0,228.0
1162,Clatsop,OR,52583.0,38562.0,43.9,28750.0,3977.0,1113.0
1163,Curry,OR,46396.0,22507.0,56.1,28365.0,3230.0,652.0
1164,Gilliam,OR,42976.0,1907.0,49.6,25649.0,203.0,75.0
1165,Lake,OR,36627.0,7843.0,49.1,22469.0,1201.0,198.0
1166,Union,OR,48617.0,26028.0,39.6,27425.0,4026.0,780.0
1167,Delaware,PA,71539.0,563527.0,39.0,38251.0,54468.0,17628.0
1168,Union,PA,56026.0,45114.0,39.4,25606.0,4059.0,699.0
1169,Wayne,PA,54851.0,51536.0,48.1,26570.0,5552.0,1361.0
1170,Dauphin,PA,58916.0,274515.0,39.8,32485.0,34158.0,7200.0
1171,Westmoreland,PA,58866.0,354751.0,46.8,32916.0,34762.0,7989.0
1172,Forest,PA,38383.0,7351.0,40.4,15360.0,467.0,58.0
1173,Monroe,PA,63931.0,167586.0,42.8,28486.0,19004.0,6723.0
1174,Philadelphia,PA,43744.0,1575522.0,34.3,26557.0,380873.0,78170.0
1175,Blair,PA,47969.0,123842.0,43.4,26648.0,17645.0,2956.0
1176,Cambria,PA,45901.0,134550.0,45.1,25779.0,19582.0,4048.0
1177,Berks,PA,61522.0,416642.0,39.9,30187.0,51733.0,14482.0
1178,Huntingdon,PA,48597.0,45421.0,43.5,24159.0,5335.0,1243.0
1179,Lawrence,PA,48860.0,87382.0,45.1,27734.0,12017.0,2606.0
1180,Mifflin,PA,47526.0,46362.0,43.8,24407.0,6574.0,787.0
1181,Cumberland,PA,68895.0,247433.0,40.5,36012.0,17327.0,4982.0
1182,Allegheny,PA,58383.0,1225561.0,40.8,36907.0,144842.0,34903.0
1183,Snyder,PA,57638.0,40466.0,39.9,26415.0,4046.0,568.0
1184,Susquehanna,PA,53059.0,41340.0,48.2,29630.0,5012.0,1187.0
1185,Crawford,PA,49144.0,86164.0,42.9,25731.0,11577.0,2392.0
1186,Erie,PA,49716.0,275972.0,39.4,27349.0,42812.0,7952.0
1187,Fulton,PA,51259.0,14506.0,45.0,26082.0,1650.0,396.0
1188,Juniata,PA,52765.0,24562.0,42.7,25057.0,2876.0,452.0
1189,Schuylkill,PA,49190.0,143555.0,44.2,26070.0,17294.0,4166.0
1190,Wyoming,PA,59308.0,27588.0,44.2,28810.0,2805.0,802.0
1191,Adams,PA,64507.0,102023.0,43.6,30534.0,8597.0,2376.0
